N	2gram	Vygotskiy__4	Morfolog
1	может быть	12	52
2	таким образом	25	20
3	представляет собой	3	17
4	не может	6	17
5	в этих	3	16
6	могут быть	7	15
7	с этим	5	14
8	и в	20	13
9	в этом	24	13
10	так как	10	12
11	перед нами	5	11
12	мы видим	10	11
13	связи с	3	11
14	видим что	2	10
15	прежде всего	2	9
16	этом случае	3	9
17	так и	5	9
18	в связи	3	9
19	то же	16	9
20	и не	8	9
21	а не	7	9
22	мы имеем	2	9
23	с другой	12	8
24	а затем	2	8
25	по существу	3	8
26	что и	9	8
27	в результате	8	8
28	в качестве	21	7
29	все же	5	7
30	это не	5	6
31	не могут	3	6
32	и здесь	2	6
33	в том	42	6
34	но не	3	6
35	а также	2	6
36	составные части	3	6
37	а в	2	6
38	подобно тому	2	6
39	не менее	3	5
40	тому как	2	5
41	если мы	10	5
42	и другие	9	5
43	в ходе	4	5
44	наряду с	3	5
45	вслед за	2	5
46	далеко не	2	5
47	как бы	7	5
48	один из	3	5
49	то что	15	5
50	потому что	12	5
51	что в	19	4
52	и как	9	4
53	на котором	2	4
54	раньше чем	5	4
55	очень часто	2	4
56	случае не	2	4
57	было бы	8	4
58	на его	3	4
59	не только	15	4
60	как в	5	4
61	как мы	13	4
62	другой стороны	9	4
63	так же	11	4
64	как и	9	4
65	следующим образом	3	4
66	тем что	7	4
67	точки зрения	24	4
68	с точки	11	4
69	на этом	3	4
70	также и	2	4
71	его в	6	4
72	оно может	3	4
73	только что	4	3
74	связана с	2	3
75	если бы	5	3
76	в нашем	4	3
77	между собой	5	3
78	в начале	2	3
79	в какой	3	3
80	том что	35	3
81	что они	14	3
82	на нем	2	3
83	в целом	11	3
84	того чтобы	7	3
85	в сущности	4	3
86	момент когда	2	3
87	не является	5	3
88	ни в	3	3
89	но и	9	3
90	от того	3	3
91	целый ряд	5	3
92	входит в	2	3
93	самом деле	7	3
94	к нему	2	3
95	и для	4	3
96	друг друга	4	3
97	мы можем	5	3
98	из них	4	3
99	мы должны	11	3
100	в один	3	3
101	но в	3	3
102	значит что	2	3
103	затем уже	2	2
104	и более	7	2
105	с тем	6	2
106	обоих случаях	3	2
107	в виде	3	2
108	в частности	5	2
109	точно так	3	2
110	что эта	3	2
111	состоит в	4	2
112	к этому	4	2
113	как уже	4	2
114	что он	6	2
115	животных и	2	2
116	в собственном	7	2
117	и к	5	2
118	на первый	4	2
119	и при	4	2
120	иначе чем	3	2
121	совершается в	2	2
122	только в	10	2
123	они даны	2	2
124	для него	2	2
125	одной стороны	9	2
126	одной из	3	2
127	мы уже	5	2
128	но для	2	2
129	в обоих	3	2
130	в ином	2	2
131	в настоящее	2	2
132	себя в	3	2
133	от других	2	2
134	то как	2	2
135	собственном смысле	7	2
136	вопроса о	2	2
137	может не	2	2
138	и тогда	2	2
139	и только	4	2
140	а с	2	2
141	с одной	9	2
142	относятся к	2	2
143	все эти	5	2
144	не означает	3	2
145	и что	8	2
146	того что	10	2
147	для того	5	2
148	к другой	2	2
149	что такое	5	2
150	тем же	4	2
151	не имеет	2	2
152	и его	5	2
153	можно было	6	2
154	друг на	5	2
155	является в	3	2
156	в каком	2	2
157	на друга	5	2
158	самого себя	2	2
159	не знает	2	2
160	настоящее время	2	2
161	что мы	7	2
162	о том	5	2
163	что эти	2	2
164	в свое	2	2
165	ясно что	2	2
166	здесь не	2	2
167	сказать что	6	2
168	как это	9	2
