N	3gram	Propp_Morf_1	Istorich
1	и т д	39	18
2	с другой стороны	4	8
3	в этом случае	8	7
4	в этих случаях	11	6
5	мы видим что	9	4
6	в связи с	8	4
7	в иное царство	5	4
8	но все же	3	4
9	тем не менее	4	4
10	как мы увидим	4	3
11	во время боя	2	3
12	не может быть	9	3
13	мы увидим ниже	5	3
14	для того чтобы	2	3
15	на то что	2	2
16	в том что	3	2
17	мы не будем	2	2
18	в таких случаях	2	2
19	таким образом мы	5	2
20	и таким образом	2	2
21	по отношению к	4	2
22	как и в	2	2
23	при помощи которой	2	2
24	наряду с этим	3	2
