N	2gram	Propp_Isto_6	Hudozhes
1	в качестве	3	19
2	и не	10	16
3	в том	12	15
4	и в	26	15
5	не только	10	15
6	в частности	3	13
7	может быть	11	13
8	тогда как	2	13
9	при этом	3	12
10	а в	3	12
11	и его	7	12
12	но не	2	11
13	в этом	12	11
14	в себе	3	11
15	представляет собой	2	10
16	как бы	4	10
17	отношению к	2	10
18	но и	9	10
19	так и	5	10
20	по отношению	2	10
21	то же	5	10
22	а не	2	10
23	в его	5	9
24	своего рода	2	8
25	сводится к	2	8
26	с другой	10	7
27	в то	5	7
28	но в	7	7
29	с его	4	6
30	что в	12	6
31	том что	10	6
32	не в	3	6
33	не может	6	6
34	могут быть	3	5
35	можно сказать	2	5
36	а также	4	5
37	ни в	2	5
38	только в	5	5
39	тем самым	2	5
40	того что	2	5
41	в нем	8	5
42	то что	6	5
43	другой стороны	8	5
44	уже не	7	5
45	в этих	2	4
46	прежде всего	4	4
47	к тому	2	4
48	и как	2	4
49	еще не	9	4
50	например в	7	4
51	он не	2	4
52	и тем	4	4
53	в своей	3	4
54	со стороны	3	4
55	в форме	2	4
56	и то	3	4
57	сказать что	3	4
58	мы имеем	14	4
59	как это	5	4
60	если бы	3	3
61	однако в	2	3
62	это не	4	3
63	что он	9	3
64	того же	2	3
65	о чем	2	3
66	далеко не	3	3
67	не будет	5	3
68	так в	6	3
69	таким образом	12	3
70	как и	5	3
71	и что	5	3
72	их в	3	3
73	потому что	13	3
74	но он	2	3
75	и ее	3	3
76	в данном	3	3
77	в русской	6	3
78	его в	5	3
79	в своем	2	2
80	в них	3	2
81	превращается в	7	2
82	в одном	3	2
83	связей с	2	2
84	вовсе не	2	2
85	к своему	3	2
86	одна из	2	2
87	одной стороны	7	2
88	и сам	2	2
89	никто не	2	2
90	не вполне	2	2
91	даже в	2	2
92	не могло	2	2
93	и др	2	2
94	в сказании	3	2
95	образом и	2	2
96	как в	6	2
97	могло быть	2	2
98	а именно	9	2
99	здесь не	2	2
100	а с	2	2
101	с одной	7	2
102	все эти	8	2
103	и некоторые	2	2
104	и больше	2	2
105	из которых	3	2
106	и по	4	2
107	или в	3	2
108	так же	2	2
109	с ним	8	2
110	и на	12	2
111	у него	7	2
112	но как	4	2
113	в этой	2	2
114	о том	7	2
115	и это	8	2
116	из этого	3	2
117	мира и	2	2
