N	2gram	Medvedev_F_1	Mirosoze
1	может быть	14	30
2	не только	7	29
3	и в	24	28
4	не может	16	28
5	но и	7	25
6	а не	10	25
7	он не	3	24
8	в этом	15	20
9	не было	3	18
10	не в	8	16
11	в ней	10	15
12	в своей	11	15
13	никогда не	4	14
14	до конца	7	14
15	в нем	14	13
16	и это	2	12
17	для него	3	11
18	в самом	5	11
19	и не	20	11
20	что в	4	10
21	в своем	11	10
22	в мире	4	10
23	прежде всего	22	10
24	и все	6	10
25	человек не	3	10
26	что он	3	10
27	было бы	6	10
28	и потому	9	10
29	к отрицанию	2	9
30	с тем	2	9
31	в его	23	9
32	не есть	2	9
33	и его	10	9
34	есть лишь	2	9
35	но не	3	8
36	в самой	2	7
37	того что	5	7
38	но в	5	7
39	менее всего	2	7
40	в себе	3	7
41	должна быть	7	6
42	в том	6	6
43	в этой	6	6
44	все это	9	6
45	лишь в	8	6
46	и на	8	6
47	все в	2	6
48	вместе с	2	6
49	только в	2	6
50	в которой	4	6
51	это не	2	5
52	если он	3	5
53	от нее	2	5
54	у нас	5	5
55	как и	11	5
56	то что	8	5
57	нет и	2	5
58	в самую	2	5
59	с этой	4	4
60	отношение к	3	4
61	в их	11	4
62	отношения к	6	4
63	а в	6	4
64	точки зрения	16	4
65	в них	3	4
66	не как	4	4
67	один из	3	4
68	это и	3	4
69	она не	6	4
70	за пределы	2	4
71	к ней	2	4
72	что и	2	4
73	уже не	2	4
74	и вот	2	3
75	к тому	3	3
76	на своем	2	3
77	в него	2	3
78	и их	10	3
79	только и	4	3
80	не так	2	3
81	должно быть	11	3
82	его не	2	3
83	особенно в	3	3
84	с этим	2	3
85	его в	3	3
86	и с	8	3
87	с его	4	3
88	он должен	3	3
89	в жизни	3	3
90	в ее	8	3
91	учение о	4	3
92	ничего не	2	3
93	социальной среды	2	3
94	мы увидим	4	3
95	конечно не	4	3
96	когда он	3	3
97	ко всем	2	3
98	хотя бы	5	3
99	место в	7	2
100	прежде чем	2	2
101	и от	7	2
102	вопрос о	2	2
103	его как	3	2
104	в свою	8	2
105	его с	2	2
106	жизни и	7	2
107	всего в	3	2
108	отличается от	3	2
109	по отношению	4	2
110	все эти	6	2
111	о мире	2	2
112	и что	2	2
113	и те	2	2
114	даже и	2	2
115	к новому	2	2
116	в истории	4	2
117	как бы	6	2
118	в россии	3	2
119	бы в	3	2
120	с ним	2	2
121	проблемы и	2	2
122	в основе	3	2
123	а как	2	2
124	к этой	4	2
125	если бы	4	2
126	жизни в	2	2
127	отношению к	4	2
128	к миру	2	2
129	литературы и	2	2
130	в то	9	2
131	до сих	6	2
132	и к	4	2
133	еще в	2	2
134	должен быть	5	2
135	все же	3	2
136	сих пор	6	2
137	как в	8	2
138	приводит к	2	2
139	и самый	2	2
140	входит в	6	2
141	т е	34	2
142	чтобы не	2	2
143	и как	3	2
144	от этого	2	2
145	он в	2	2
146	отношении к	2	2
