N	2gram	Medvedev_U_1	RusskieA
1	и в	14	29
2	том что	2	22
3	в том	2	22
4	может быть	6	13
5	как и	3	11
6	в этом	7	11
7	все это	5	10
8	и с	2	10
9	не только	10	10
10	в некоторых	2	9
11	но и	4	8
12	мы не	2	6
13	таким образом	2	6
14	это не	3	5
15	должна была	2	5
16	то что	7	5
17	но не	2	5
18	для этого	3	5
19	не может	7	5
20	но в	3	5
21	о чем	2	4
22	не все	2	4
23	по существу	2	4
24	не в	2	4
25	то же	5	4
26	у нас	3	4
27	а не	10	4
28	тем что	2	3
29	на первый	2	3
30	было бы	3	3
31	что она	2	3
32	и через	2	3
33	между тем	2	3
34	в этой	4	3
35	могут быть	2	2
36	с другой	4	2
37	не столько	2	2
38	прежде всего	8	2
39	что и	2	2
40	одним из	2	2
41	очевидно что	3	2
42	на эту	2	2
43	все же	3	2
44	в своей	3	2
45	в их	4	2
46	вряд ли	3	2
47	и для	2	2
48	и то	3	2
49	в то	3	2
