N	2gram	Berdyaev_O_1	StatiiOP
1	и в	19	44
2	в том	5	36
3	что в	4	30
4	том что	2	29
5	в этом	12	21
6	то что	5	18
7	не только	11	18
8	было бы	3	17
9	а в	5	17
10	о том	3	17
11	и не	13	16
12	а не	11	16
13	т е	4	15
14	может быть	11	15
15	не в	11	12
16	в этой	5	11
17	того чтобы	4	11
18	для того	3	10
19	что он	3	10
20	но и	13	10
21	но в	2	10
22	как и	6	9
23	того что	3	9
24	так и	2	9
25	в его	7	9
26	все же	2	8
27	не может	4	8
28	и его	4	8
29	это не	3	8
30	прежде всего	9	7
31	в самом	5	7
32	сказать что	2	7
33	что они	2	7
34	потому что	9	6
35	так что	2	6
36	для него	5	6
37	что и	2	6
38	в своей	2	6
39	что же	2	6
40	хотя бы	3	6
41	никогда не	9	5
42	в нем	10	5
43	все это	6	5
44	и то	2	5
45	тем что	2	5
46	могут быть	3	5
47	все эти	4	5
48	так как	2	5
49	и очень	2	4
50	можно ли	2	4
51	вопрос о	10	4
52	в ее	2	4
53	никто не	3	4
54	как бы	3	4
55	в россии	5	4
56	не было	9	4
57	что у	2	4
58	не имеет	2	4
59	в которой	2	4
60	и с	2	3
61	же это	2	3
62	он был	8	3
63	чем в	2	3
64	еще не	3	3
65	что не	4	3
66	и для	2	3
67	не все	2	3
68	нужно искать	5	3
69	ни с	7	3
70	в истории	2	3
71	в уста	2	3
72	что для	2	3
73	о которой	2	3
74	лишь в	7	3
75	как к	2	3
76	в другом	2	3
77	что все	2	2
78	уже в	2	2
79	совсем не	2	2
80	в этих	3	2
81	даже и	2	2
82	в своем	2	2
83	и потому	2	2
84	отношение к	5	2
85	в других	2	2
86	ничего не	2	2
87	в своих	3	2
88	у него	22	2
89	одно из	2	2
90	он не	7	2
91	но он	7	2
92	в себе	3	2
93	все в	4	2
94	и все	10	2
95	его в	2	2
96	искать не	2	2
97	к нему	3	2
98	должен был	2	2
