N	2gram	Vinokur_St_1	slovoVRo
1	и в	44	39
2	может быть	15	37
3	и т	30	35
4	и его	8	33
5	т п	9	33
6	то есть	2	26
7	не только	18	24
8	и не	16	22
9	но и	10	21
10	не может	8	20
11	в нем	5	19
12	все это	5	16
13	в этом	21	16
14	так и	9	15
15	а не	16	14
16	как в	13	13
17	во всех	8	12
18	в истории	3	11
19	вовсе не	19	10
20	не в	12	9
21	языка и	4	9
22	и с	3	9
23	прежде всего	7	8
24	таким образом	7	8
25	точки зрения	11	8
26	при этом	2	7
27	для него	6	7
28	еще не	3	7
29	в его	9	7
30	как бы	4	7
31	никогда не	5	7
32	в этих	2	7
33	и потому	2	7
34	и даже	5	7
35	могут быть	5	7
36	этом случае	2	6
37	все же	8	6
38	как и	9	6
39	в своем	2	6
40	но не	3	6
41	она не	2	6
42	в сущности	2	6
43	жизни и	5	6
44	там где	5	6
45	все эти	5	6
46	в слове	5	6
47	но в	10	6
48	с другой	9	5
49	это не	8	5
50	и для	3	5
51	и все	2	5
52	для нас	7	5
53	том что	29	5
54	но все	4	5
55	одной стороны	2	5
56	только в	10	5
57	в том	36	5
58	например в	8	5
59	и их	2	5
60	с одной	3	5
61	конечно не	2	5
62	не менее	5	4
63	всех этих	2	4
64	и языка	6	4
65	ни в	3	4
66	отношению к	3	4
67	же время	4	4
68	этой категории	2	4
69	связанные с	3	4
70	в отношении	9	4
71	по отношению	3	4
72	для этого	2	4
73	отношения к	2	4
74	то же	5	4
75	что оно	3	4
76	в той	6	4
77	в таком	3	4
78	а в	17	4
79	дело с	2	4
80	языка не	2	4
81	в основе	3	4
82	даже и	2	4
83	в то	9	4
84	отношение к	2	4
85	его в	2	4
86	так как	5	4
87	истории литературы	2	3
88	что в	30	3
89	материала и	2	3
90	точку зрения	3	3
91	хотя бы	6	3
92	отметить что	2	3
93	должна быть	3	3
94	что и	6	3
95	но это	6	3
96	у него	2	3
97	как к	3	3
98	в ней	3	3
99	к нему	2	3
100	быть и	2	3
101	бы и	4	3
102	этом отношении	7	3
103	лишь в	3	3
104	а также	2	3
105	с точки	8	3
106	не была	2	3
107	той же	5	3
108	сказать что	7	3
109	между тем	3	3
110	говорить о	2	3
111	в чем	3	3
112	как это	4	3
113	во всяком	6	3
114	чем в	3	2
115	может не	2	2
116	в данном	14	2
117	уже в	2	2
118	не было	4	2
119	и более	2	2
120	но он	2	2
121	п в	3	2
122	не всегда	2	2
123	материал для	3	2
124	в себе	2	2
125	что он	10	2
126	без всякого	2	2
127	эпохи и	3	2
128	например во	2	2
129	как о	2	2
130	со всеми	2	2
131	за пределы	2	2
132	при его	2	2
133	же и	4	2
134	всяком случае	6	2
135	даже в	3	2
136	не все	3	2
137	должен быть	3	2
138	сих пор	7	2
139	то что	18	2
140	дело в	6	2
141	в свой	2	2
142	подчеркнуть что	2	2
143	на него	2	2
144	и речи	2	2
145	а именно	3	2
146	самого же	2	2
147	далее в	2	2
148	с этим	3	2
149	т д	21	2
150	в виде	3	2
151	именно в	6	2
152	еще более	4	2
153	это и	4	2
154	мы не	2	2
155	того чтобы	11	2
156	для того	10	2
157	конечно и	3	2
158	также и	9	2
159	в результате	3	2
160	он не	2	2
161	ведь и	3	2
162	в другом	3	2
163	не знает	2	2
164	о том	17	2
165	которые в	2	2
166	только с	2	2
167	в области	14	2
168	это очень	3	2
169	в новом	4	2
170	до сих	7	2
