N	2gram	Tiupa_Vved_1	Vladivir
1	и в	13	30
2	то что	6	20
3	в этом	21	20
4	в том	10	18
5	и не	12	18
6	и с	2	14
7	том что	7	12
8	что в	3	12
9	не только	20	12
10	в его	4	11
11	а в	6	11
12	как мы	3	11
13	а также	8	10
14	не было	2	10
15	не в	6	9
16	для него	3	9
17	было бы	4	9
18	все же	6	9
19	потому что	5	9
20	не может	7	9
21	в то	4	9
22	в своем	5	8
23	но и	19	8
24	что же	3	8
25	но в	6	8
26	не менее	4	7
27	никогда не	4	7
28	и все	4	7
29	до конца	3	7
30	может быть	18	7
31	для нас	2	7
32	а не	15	7
33	то есть	8	7
34	хотя и	7	6
35	к этому	2	6
36	прежде всего	7	6
37	и к	2	6
38	об этом	4	6
39	тем не	3	6
40	только в	6	6
41	в себе	5	6
42	жизни и	7	6
43	и его	5	6
44	также и	4	6
45	о чем	2	6
46	по себе	2	5
47	как и	11	5
48	при этом	26	5
49	в своей	5	5
50	как бы	4	5
51	в котором	8	5
52	так и	8	5
53	того что	6	5
54	в результате	3	5
55	с ним	3	5
56	можно сказать	4	4
57	в целом	3	4
58	письма к	2	4
59	в ней	4	4
60	он не	3	4
61	это время	2	4
62	в нем	5	4
63	в этих	3	4
64	со стороны	5	4
65	то же	5	4
66	и наконец	2	4
67	по поводу	2	4
68	и на	3	4
69	но это	3	4
70	в начале	3	4
71	о том	5	4
72	здесь не	2	4
73	отношение к	2	4
74	в них	2	3
75	едва ли	3	3
76	из этих	3	3
77	что касается	5	3
78	же время	3	3
79	в свою	4	3
80	что и	2	3
81	более или	2	3
82	но не	5	3
83	он и	2	3
84	в данном	13	3
85	и для	3	3
86	никак не	2	3
87	во всех	2	3
88	или менее	2	3
89	как в	4	3
90	в отличие	2	3
91	таким образом	4	3
92	те же	2	3
93	уже не	5	3
94	отличие от	2	3
95	или иначе	2	3
96	не столько	4	3
97	в области	3	3
98	этот раз	2	3
99	еще в	2	2
100	однако в	4	2
101	жизни в	4	2
102	это не	6	2
103	и от	2	2
104	мы видели	2	2
105	к тому	6	2
106	а к	3	2
107	свою очередь	4	2
108	по своему	2	2
109	а то	2	2
110	такого рода	16	2
111	в самом	2	2
112	в частности	13	2
113	том чтобы	2	2
114	не вполне	3	2
115	будто бы	3	2
116	не имеет	2	2
117	начала и	2	2
118	наряду с	2	2
119	бытия в	2	2
120	данном случае	6	2
121	начиная с	3	2
122	в той	4	2
123	и по	3	2
124	можно было	2	2
125	в своих	2	2
126	их в	2	2
127	не о	2	2
128	к его	3	2
129	как будто	4	2
130	как он	2	2
131	мы не	4	2
