N	2gram	Propp_Morf_1	RusskieA
1	и в	13	29
2	т е	21	24
3	что в	8	22
4	том что	4	22
5	в том	6	22
6	в поле	4	19
7	как бы	3	18
8	состоит в	2	15
9	в других	3	15
10	и другие	6	14
11	может быть	52	13
12	так как	16	13
13	во время	6	12
14	как и	3	11
15	одна из	4	11
16	в этом	14	11
17	не только	4	10
18	а на	3	9
19	о том	2	9
20	в некоторых	3	9
21	а в	7	9
22	или на	3	8
23	но и	4	8
24	а а	2	8
25	его в	2	8
26	как в	3	7
27	или в	4	7
28	представляют собой	11	7
29	с тем	2	6
30	мы не	8	6
31	этом случае	8	6
32	же в	2	6
33	еще не	3	6
34	для того	2	6
35	для нас	2	6
36	таким образом	21	6
37	того чтобы	3	6
38	мы имеем	9	6
39	потому что	3	5
40	это не	6	5
41	к этому	3	5
42	то что	8	5
43	и что	2	5
44	но не	4	5
45	и т	41	5
46	не может	14	5
47	или же	6	5
48	т д	39	5
49	следующим образом	3	5
50	но в	2	5
51	не все	6	4
52	вопрос о	7	4
53	а затем	4	4
54	уже не	2	4
55	по существу	12	4
56	не в	3	4
57	этих случаях	11	4
58	из них	3	4
59	к нему	3	4
60	а также	4	4
61	так же	3	4
62	то же	7	4
63	у нас	2	4
64	а не	11	4
65	в которых	2	4
66	в виде	2	4
67	далеко не	5	4
68	как это	3	4
69	на этом	3	3
70	тем что	4	3
71	в этих	13	3
72	в качестве	5	3
73	их по	3	3
74	не всегда	9	3
75	главным образом	4	3
76	на первый	3	3
77	для этой	3	3
78	как например	2	3
79	или с	3	3
80	она не	2	3
81	в лес	7	3
82	того что	3	3
83	было бы	3	3
84	что она	2	3
85	но если	7	3
86	не имеет	2	3
87	во всех	4	3
88	не будем	4	3
89	все эти	2	3
90	и по	2	3
91	друг друга	3	3
92	как мы	6	3
93	тому как	5	3
94	между тем	5	3
95	подобно тому	6	3
96	в этой	2	3
97	в таких	2	3
98	не менее	5	2
99	если она	2	2
100	на берег	2	2
101	связи с	10	2
102	ниже в	2	2
103	сказки о	6	2
104	об этом	4	2
105	могут быть	16	2
106	между собой	4	2
107	с другой	8	2
108	сразу же	2	2
109	в образе	4	2
110	прежде всего	9	2
111	как уже	2	2
112	что и	7	2
113	это и	2	2
114	и как	5	2
115	вывод что	2	2
116	совсем не	3	2
117	в глаза	2	2
118	то время	3	2
119	и пр	37	2
120	оно как	2	2
121	тем не	5	2
122	один из	5	2
123	не с	2	2
124	или просто	2	2
125	все же	7	2
126	дело не	2	2
127	в форме	6	2
128	что при	2	2
129	сюда же	3	2
130	вряд ли	2	2
131	а и	3	2
132	тогда как	2	2
133	того как	2	2
134	а с	2	2
135	на самом	4	2
136	там где	5	2
137	этот вопрос	2	2
138	здесь мы	3	2
139	тем и	2	2
140	отправляется в	3	2
141	из которых	3	2
142	и для	2	2
143	можно было	2	2
144	после чего	2	2
145	право на	2	2
146	рассматриваться как	2	2
147	о происхождении	2	2
148	в руки	3	2
149	с этим	11	2
150	и ее	3	2
151	в то	3	2
152	представляет собой	17	2
153	заметить что	8	2
154	в которой	3	2
155	та же	2	2
