N	2gram	Tiupa_Disk_2	Analitik
1	в качестве	16	31
2	может быть	16	29
3	в том	8	27
4	не может	9	22
5	и не	15	21
6	в частности	12	19
7	и в	16	18
8	а не	14	17
9	но и	11	17
10	представляет собой	11	16
11	отнюдь не	6	15
12	не только	10	15
13	тогда как	11	14
14	коммуникативного события	5	14
15	не в	3	14
16	как и	16	13
17	в его	3	13
18	в этом	16	13
19	том что	10	12
20	при этом	17	12
21	состоит в	16	11
22	в себе	19	11
23	то есть	12	11
24	но не	7	10
25	художественного целого	4	10
26	то же	6	9
27	а в	2	9
28	иначе говоря	3	9
29	в то	5	9
30	в мире	11	8
31	в той	2	8
32	в принципе	2	8
33	но в	11	8
34	значении этого	2	7
35	тем самым	6	7
36	произведения как	2	7
37	времени и	2	6
38	это не	3	6
39	прежде всего	7	6
40	или иной	3	6
41	перед лицом	2	6
42	же время	5	6
43	себя в	6	6
44	той или	3	6
45	далеко не	2	6
46	то что	5	6
47	в своей	6	6
48	коммуникативное событие	3	6
49	в себя	2	6
50	в отличие	12	6
51	отличие от	12	6
52	по отношению	4	6
53	в основе	4	6
54	точки зрения	4	6
55	по своей	6	6
56	только в	3	6
57	мы имеем	2	6
58	я и	4	6
59	и того	3	5
60	и как	3	5
61	в этой	4	5
62	что в	5	5
63	такого рода	9	5
64	как бы	4	5
65	внутренней речи	3	5
66	отношению к	4	5
67	в целом	2	5
68	в тексте	3	5
69	и т.п	12	5
70	и состоит	2	5
71	сводится к	2	5
72	и его	3	5
73	между тем	2	5
74	и на	5	5
75	о том	4	5
76	текста а	3	4
77	могут быть	3	4
78	столь же	3	4
79	с другой	5	4
80	и другого	2	4
81	ни в	7	4
82	того же	2	4
83	в области	2	4
84	не с	2	4
85	все же	6	4
86	вместе с	2	4
87	так и	9	4
88	именно в	2	4
89	уже не	3	4
90	не более	2	4
91	более чем	2	4
92	с точки	2	4
93	в другом	3	4
94	не следует	3	4
95	место в	2	3
96	по мысли	6	3
97	в рамках	7	3
98	с его	6	3
99	которая в	2	3
100	и одновременно	2	3
101	вследствие этого	2	3
102	и все	3	3
103	личности в	2	3
104	или иного	2	3
105	в нем	7	3
106	в ходе	2	3
107	что он	2	3
108	всякий раз	2	3
109	еще не	6	3
110	одной стороны	4	3
111	он не	3	3
112	в котором	3	3
113	что и	2	3
114	а с	5	3
115	с одной	4	3
116	по природе	2	3
117	объекта и	2	3
118	что как	2	3
119	ведет к	3	3
120	тому как	2	3
121	подобно тому	2	3
122	того и	2	3
123	я в	5	3
124	как будто	3	3
125	а также	8	3
126	своего рода	10	3
127	другого в	2	3
128	в противоположность	5	2
129	может иметь	2	2
130	и то	4	2
131	на роль	2	2
132	никогда не	2	2
133	все эти	3	2
134	субъекта в	3	2
135	реальности и	2	2
136	не столько	3	2
137	не является	4	2
138	из этих	3	2
139	бытия и	2	2
140	как уже	2	2
141	художественного письма	7	2
142	не сводится	4	2
143	поведения в	3	2
144	можно сказать	3	2
145	с позиций	3	2
146	основе своей	2	2
147	такой же	2	2
148	соответствии с	3	2
149	в противовес	5	2
150	и адресата	2	2
151	должно быть	2	2
152	рассказ о	2	2
153	отношение к	2	2
154	для него	5	2
155	в пределах	4	2
156	мысль о	3	2
157	при всей	7	2
158	свое время	2	2
159	в ряду	2	2
160	совпадает с	2	2
161	не о	2	2
162	в свое	2	2
163	одного из	4	2
164	еще в	3	2
165	природе своей	2	2
166	не к	2	2
167	из них	3	2
168	данном случае	6	2
169	со стороны	10	2
170	присутствия в	3	2
171	что же	2	2
172	для данного	3	2
173	другой стороны	2	2
174	на примере	2	2
175	здесь не	2	2
176	той же	2	2
177	этом отношении	4	2
178	роль в	4	2
179	ни одно	2	2
180	жизненной позиции	3	2
181	также и	3	2
182	героя в	5	2
183	из виду	3	2
184	для себя	2	2
185	в данном	7	2
186	одного и	3	2
187	лирического героя	5	2
188	жизни но	3	2
189	исторической поэтики	2	2
190	потому что	4	2
191	системы ценностей	2	2
192	и с	2	2
193	мире и	3	2
194	мира в	3	2
