N	3gram	Losev_Prob_2	Marksizm
1	не может быть	3	10
2	в то же	4	8
3	в связи с	5	7
4	в том что	4	6
5	для того чтобы	2	6
6	с самого начала	2	5
7	в самом деле	2	5
8	то же самое	5	5
9	может быть и	2	5
10	бы то ни	2	4
11	на самом деле	2	4
12	в таком случае	10	3
13	с одной стороны	5	3
14	вовсе не является	3	3
15	о том что	14	3
16	до сих пор	4	3
17	по крайней мере	6	2
18	более или менее	4	2
19	того или иного	5	2
20	на то что	4	2
21	во всяком случае	10	2
22	и прежде всего	2	2
23	у нас не	2	2
24	одной стороны и	3	2
25	но и в	3	2
