N	2gram	Savitsky_P_1	Dialekti
1	т е	3	30
2	и не	12	30
3	может быть	5	20
4	и в	14	19
5	не только	17	19
6	по себе	4	18
7	и т	3	17
8	а не	2	16
9	в себе	3	15
10	то что	4	14
11	в том	9	14
12	как бы	4	14
13	потому что	3	14
14	но и	6	12
15	то же	9	12
16	точки зрения	3	12
17	и как	3	10
18	в нем	3	10
19	том что	4	10
20	это не	3	10
21	она есть	3	9
22	не может	4	9
23	прежде всего	3	8
24	есть нечто	2	8
25	с точки	3	8
26	не в	5	8
27	в этом	10	8
28	есть не	2	7
29	и к	4	7
30	что в	4	7
31	должно быть	2	7
32	да и	2	6
33	отнюдь не	2	6
34	в то	7	6
35	но не	3	6
36	того что	2	6
37	с другой	5	5
38	же время	7	5
39	в силу	2	5
40	и пр	5	5
41	и потому	4	5
42	и это	2	5
43	как раз	2	5
44	в смысле	6	5
45	говорить о	2	5
46	только в	7	5
47	и с	2	5
48	и есть	2	4
49	в своем	4	4
50	в ее	2	4
51	и если	4	4
52	хотя бы	8	4
53	все это	2	4
54	и вот	2	4
55	заключается в	3	4
56	а в	4	4
57	могут быть	3	4
58	не менее	2	3
59	было бы	6	3
60	и мы	2	3
61	сами по	3	3
62	из них	2	3
63	с этим	2	3
64	не было	2	3
65	в частности	2	2
66	но о	2	2
67	именно в	2	2
68	же в	4	2
69	а я	5	2
70	с тем	3	2
71	в общем	2	2
72	в ней	6	2
73	в сфере	2	2
74	если в	2	2
75	в мире	2	2
76	во всех	2	2
77	может и	2	2
78	например в	2	2
79	с одной	3	2
80	с ними	3	2
81	бы ни	2	2
82	между тем	3	2
83	в виде	2	2
84	что мы	3	2
85	мы должны	4	2
86	есть в	2	2
87	в области	11	2
88	но в	9	2
89	я и	3	2
90	взгляда на	2	2
91	в жизни	2	2
