N	2gram	Propp_Isto_7	Dialekti
1	т е	16	46
2	и не	4	30
3	а не	8	18
4	может быть	14	17
5	и т	17	17
6	ничего не	5	17
7	то что	7	16
8	и в	24	15
9	т д	16	15
10	как бы	4	14
11	не имеет	4	14
12	так как	8	14
13	точки зрения	4	14
14	что это	6	13
15	того что	6	13
16	это не	10	12
17	прежде всего	2	11
18	в том	7	11
19	не может	14	11
20	и все	6	11
21	в этом	12	11
22	в основе	2	10
23	потому что	9	10
24	том что	10	10
25	было бы	2	9
26	все это	8	9
27	мы не	4	9
28	и что	10	9
29	то же	8	9
30	уже не	2	9
31	ни в	2	8
32	не в	9	8
33	это значит	2	8
34	и о	2	8
35	не только	21	8
36	в чем	5	8
37	и ее	2	8
38	и это	2	8
39	что в	13	7
40	не просто	2	7
41	что мы	3	7
42	что он	21	7
43	как и	6	7
44	и его	3	7
45	или в	8	7
46	только в	6	7
47	перед нами	2	6
48	так что	3	6
49	хотя и	3	6
50	и тем	2	6
51	а именно	6	6
52	и даже	3	6
53	сказать что	2	6
54	вовсе не	4	6
55	в мифе	2	6
56	тем более	2	6
57	в то	2	6
58	что и	8	6
59	как только	2	5
60	так и	5	5
61	на то	3	5
62	в нем	6	5
63	другими словами	2	5
64	что она	5	5
65	в свете	3	5
66	таким образом	7	5
67	и на	2	5
68	о том	9	5
69	мы имеем	12	5
70	с его	3	5
71	тогда когда	3	5
72	что такое	2	5
73	оказывается что	2	4
74	но это	3	4
75	что они	3	4
76	один из	7	4
77	ни с	2	4
78	но и	11	4
79	в особенности	2	4
80	так же	6	4
81	мы должны	4	4
82	видим что	3	4
83	мы видим	10	4
84	она не	2	4
85	еще не	8	4
86	должны быть	3	4
87	в силу	2	4
88	та же	2	3
89	не всегда	4	3
90	имеется в	2	3
91	и нет	2	3
92	и если	3	3
93	в их	4	3
94	все эти	2	3
95	и наконец	3	3
96	с этим	2	3
97	известно что	2	3
98	что здесь	7	3
99	с ним	5	3
100	но в	5	3
101	в один	2	3
102	к этому	2	3
103	же что	2	3
104	лежит в	2	3
105	в одну	2	3
106	об этом	6	3
107	только о	2	3
108	есть и	4	3
109	когда она	2	3
110	мы уже	4	3
111	со стороны	2	3
112	говорит о	2	3
113	при помощи	3	3
114	когда он	3	3
115	как в	12	3
116	она в	3	3
117	что не	2	3
118	в данном	4	3
119	мы можем	4	3
120	а если	2	3
121	от него	3	3
122	не менее	5	2
123	не могут	2	2
124	с этой	6	2
125	из этих	3	2
126	точно так	2	2
127	представление о	3	2
128	вопрос о	3	2
129	показывает что	8	2
130	без всякого	2	2
131	но все	4	2
132	совершенно ясно	4	2
133	об этой	2	2
134	это как	2	2
135	кроме того	3	2
136	при этом	4	2
137	в самом	2	2
138	себе и	3	2
139	никогда не	4	2
140	в котором	2	2
141	из них	2	2
142	не по	2	2
143	другой стороны	8	2
144	то и	4	2
145	этой точки	3	2
146	и по	3	2
147	только после	2	2
148	и так	2	2
149	и когда	2	2
150	во всем	2	2
151	как это	2	2
152	е в	2	2
153	тоже не	3	2
154	тот кто	5	2
155	но они	3	2
156	есть еще	2	2
157	в них	3	2
158	думать что	2	2
159	в ее	2	2
160	все же	9	2
161	не будет	2	2
162	в качестве	3	2
163	одной из	4	2
164	в целях	2	2
165	конечно не	2	2
166	для нее	2	2
167	тем не	4	2
168	во всех	7	2
169	вместе с	7	2
170	ее в	3	2
171	того как	3	2
172	выше в	3	2
173	что по	2	2
174	что этот	2	2
175	очень много	2	2
176	тем что	6	2
177	но для	2	2
178	и другое	2	2
179	в которой	2	2
