N	2gram	Nazirov_Tr_1	Komedia
1	и в	18	22
2	том что	4	12
3	в том	2	11
4	но и	4	11
5	не только	8	10
6	в то	5	10
7	как и	5	9
8	может быть	7	9
9	в одном	2	8
10	и не	7	8
11	и его	6	8
12	о том	2	8
13	в этой	4	7
14	что в	4	6
15	в конце	3	6
16	что он	6	6
17	к тому	2	6
18	ни в	2	6
19	то же	5	6
20	не в	2	6
21	уже в	3	5
22	прежде всего	4	5
23	при этом	3	5
24	в его	3	5
25	еще в	2	5
26	один из	3	5
27	так и	5	5
28	как в	3	5
29	все это	4	5
30	и даже	4	5
31	потому что	2	5
32	по поводу	2	4
33	несмотря на	5	4
34	же время	6	4
35	в нем	4	4
36	что и	2	4
37	тем что	2	4
38	одном из	2	4
39	но в	6	4
40	в образе	6	3
41	вопрос о	2	3
42	и как	3	3
43	и сам	3	3
44	в частности	2	3
45	у него	6	3
46	он не	2	3
47	все же	5	3
48	в целом	4	3
49	отношение к	2	3
50	так же	4	3
51	в году	9	3
52	не мог	2	3
53	и на	7	3
54	в этом	9	3
55	и с	7	3
56	в виде	2	3
57	и ее	2	3
58	и все	4	3
59	его в	2	3
60	как это	3	3
61	ничего не	2	3
62	и здесь	2	2
63	столь же	2	2
64	он был	2	2
65	одна из	2	2
66	до конца	2	2
67	еще не	4	2
68	мог бы	3	2
69	в самом	2	2
70	с ее	3	2
71	то что	4	2
72	который в	2	2
73	то и	2	2
74	не может	5	2
75	даже если	2	2
76	к нему	3	2
77	но это	4	2
78	в себе	4	2
79	как будто	3	2
80	к людям	3	2
81	отличие от	2	2
