N	2gram	Nazirov_Tr_1	KulturaY
1	в том	2	30
2	и в	18	24
3	потому что	2	23
4	том что	4	21
5	что в	4	17
6	в этом	9	14
7	может быть	7	13
8	все же	5	12
9	в его	3	12
10	и не	7	12
11	не в	2	11
12	в самом	2	10
13	не только	8	10
14	то что	4	9
15	прежде всего	4	9
16	о том	2	9
17	то же	5	8
18	уже не	2	8
19	тем что	2	8
20	как бы	7	7
21	не может	5	7
22	это не	5	7
23	так и	5	7
24	что он	6	6
25	при этом	3	6
26	но и	4	6
27	все это	4	6
28	все эти	3	6
29	не случайно	2	6
30	с тем	2	5
31	что это	5	5
32	к тому	2	5
33	еще не	4	5
34	и что	4	5
35	не просто	2	5
36	и его	6	5
37	с ним	3	5
38	и с	7	5
39	с его	2	4
40	в частности	2	4
41	что эти	2	4
42	в нем	4	4
43	один из	3	4
44	что и	2	4
45	в целом	4	4
46	как в	3	4
47	тем самым	3	4
48	так что	2	4
49	так же	4	4
50	и на	7	4
51	в данном	2	4
52	в русском	2	4
53	под влиянием	2	3
54	уже в	3	3
55	в первом	2	3
56	в этой	4	3
57	что она	2	3
58	в своем	3	3
59	и даже	4	3
60	и он	3	3
61	в таком	2	3
62	несмотря на	5	3
63	должно быть	3	3
64	и здесь	2	3
65	и то	2	3
66	в себе	4	3
67	как это	3	3
68	в одном	2	3
69	я не	4	2
70	только к	2	2
71	о чем	3	2
72	никогда не	2	2
73	и все	4	2
74	что все	2	2
75	не могут	2	2
76	вопрос о	2	2
77	вместе со	2	2
78	в то	5	2
79	как и	5	2
80	и как	3	2
81	но все	2	2
82	же время	6	2
83	что с	3	2
84	было в	2	2
85	в это	2	2
86	если б	2	2
87	к жизни	5	2
88	ни в	2	2
89	бы и	2	2
90	то и	2	2
91	он не	2	2
92	не мог	2	2
93	не имеет	2	2
94	в силах	2	2
95	что я	4	2
96	до конца	2	2
97	ничего не	2	2
98	но в	6	2
