N	2gram	Ircho_Kome_1	Poddanst
1	не только	10	17
2	и в	22	14
3	и не	8	12
4	в области	2	11
5	в отношении	6	10
6	в этом	3	10
7	то же	6	9
8	в том	11	9
9	в качестве	4	9
10	но в	4	9
11	же время	4	7
12	в то	10	7
13	только в	3	7
14	но и	11	6
15	было бы	2	6
16	с другой	5	5
17	не в	6	5
18	и о	3	5
19	может быть	9	5
20	же в	4	4
21	в котором	4	4
22	то что	2	4
23	что в	6	4
24	не может	2	4
25	а в	6	4
26	том что	12	4
27	а также	4	4
28	в нем	4	3
29	и т	9	3
30	и без	2	3
31	столь же	2	3
32	с одной	3	3
33	т е	13	3
34	прежде всего	5	3
35	мы не	3	3
36	и как	3	3
37	между тем	5	3
38	но не	2	3
39	могут быть	3	3
40	точки зрения	4	3
41	в себе	2	3
42	тот же	3	3
43	одной стороны	3	3
44	наряду с	2	3
45	вслед за	2	3
46	потому что	5	3
47	хотя и	3	3
48	не менее	3	2
49	и тем	2	2
50	не к	2	2
51	для них	2	2
52	именно в	4	2
53	в частности	3	2
54	со стороны	2	2
55	в них	3	2
56	все это	5	2
57	и и	3	2
58	как раз	3	2
59	между прочим	2	2
60	главным образом	3	2
61	и других	7	2
62	и вот	4	2
63	точек зрения	2	2
64	одна из	2	2
65	в силу	2	2
66	в виде	3	2
67	г и	3	2
68	в начале	3	2
69	из них	10	2
70	и право	2	2
71	да и	3	2
72	в его	5	2
73	и с	3	2
