N	2gram	Ircho_Kome_1	Dialekti
1	т е	13	30
2	и не	8	30
3	может быть	9	20
4	и в	22	19
5	не только	10	19
6	и т	9	17
7	т д	4	15
8	в себе	2	15
9	то что	2	14
10	и даже	5	14
11	в том	11	14
12	так как	4	14
13	потому что	5	14
14	вовсе не	2	13
15	но и	11	12
16	то же	6	12
17	точки зрения	4	12
18	и все	3	12
19	ни в	6	10
20	как и	9	10
21	и как	3	10
22	в нем	4	10
23	так и	5	10
24	том что	12	10
25	времени и	2	9
26	не может	2	9
27	прежде всего	5	8
28	не в	6	8
29	в этом	3	8
30	как это	3	7
31	но это	2	7
32	что в	6	7
33	и притом	2	7
34	время как	4	7
35	как будто	2	7
36	что он	6	6
37	да и	3	6
38	что они	4	6
39	в то	10	6
40	но не	2	6
41	с другой	5	5
42	же время	4	5
43	в силу	2	5
44	по своему	3	5
45	в самом	2	5
46	что и	4	5
47	как раз	3	5
48	только что	2	5
49	и его	8	5
50	только в	3	5
51	о том	8	5
52	и с	3	5
53	уже в	5	4
54	независимо от	2	4
55	ясно что	4	4
56	в одном	8	4
57	все же	3	4
58	при этом	5	4
59	то время	5	4
60	еще не	2	4
61	к нему	2	4
62	за пределы	2	4
63	он не	3	4
64	все это	5	4
65	другой стороны	5	4
66	таким образом	8	4
67	и вот	4	4
68	и по	6	4
69	а в	6	4
70	могут быть	3	4
71	но он	2	4
72	в другом	4	4
73	по своей	2	4
74	по одному	2	4
75	не менее	3	3
76	же как	3	3
77	е в	2	3
78	вопрос о	3	3
79	это время	2	3
80	как мы	4	3
81	в этой	7	3
82	было бы	2	3
83	и из	2	3
84	даже в	3	3
85	из них	10	3
86	будто бы	2	3
87	его в	3	3
88	в чем	3	3
89	ничего не	3	3
90	в противоположность	2	2
91	на сцену	2	2
92	время и	2	2
93	и можно	2	2
94	в частности	3	2
95	что у	2	2
96	в состоянии	2	2
97	в конце	6	2
98	именно в	4	2
99	на всю	3	2
100	в тех	3	2
101	к тому	6	2
102	тем не	2	2
103	же в	4	2
104	это еще	2	2
105	из всего	2	2
106	в истории	5	2
107	или менее	2	2
108	как известно	2	2
109	до сих	2	2
110	на его	5	2
111	в сущности	2	2
112	несмотря на	4	2
113	на сцене	3	2
114	всяком случае	2	2
115	говоря уже	2	2
116	сих пор	2	2
117	раз в	2	2
118	на все	2	2
119	на него	4	2
120	не говоря	2	2
121	ее в	2	2
122	в их	4	2
123	как из	3	2
124	так же	3	2
125	т п	5	2
126	не раз	2	2
127	того как	3	2
128	с ее	2	2
129	с одной	3	2
130	как в	5	2
131	или в	2	2
132	в своих	2	2
133	в результате	4	2
134	между тем	5	2
135	тем что	4	2
136	в виде	3	2
137	во время	5	2
138	или по	2	2
139	же самое	2	2
140	во всяком	2	2
141	уже о	2	2
142	к сожалению	2	2
143	в которой	6	2
144	в области	2	2
145	что по	2	2
146	но в	4	2
147	вместе с	2	2
148	на этом	2	2
