N	2gram	Medvedev_U_1	Myslijsy
1	и в	14	39
2	может быть	6	27
3	в том	2	26
4	только в	2	25
5	не может	7	22
6	а не	10	21
7	не только	10	21
8	но и	4	20
9	и не	8	18
10	том что	2	16
11	не в	2	15
12	в этом	7	15
13	если бы	2	14
14	в себе	2	13
15	таким образом	2	13
16	было бы	3	12
17	мы не	2	10
18	по себе	2	10
19	не есть	2	10
20	то что	7	10
21	могут быть	2	9
22	как и	3	9
23	тем что	2	9
24	но в	3	9
25	но не	2	8
26	с другой	4	7
27	это не	3	7
28	что и	2	6
29	все же	3	6
30	то же	5	6
31	для всех	2	5
32	но это	2	5
33	в его	2	5
34	другой стороны	3	5
35	и для	2	5
36	не следует	3	5
37	между тем	2	5
38	не могут	2	4
39	при таком	2	4
40	этом смысле	2	4
41	прежде всего	8	4
42	же время	3	4
43	для него	3	4
44	в то	3	4
45	что мы	2	4
46	а его	2	3
47	что все	2	3
48	в этой	4	3
49	очевидно что	3	3
50	в противном	2	3
51	в своей	3	3
52	в самом	2	3
53	то ни	3	3
54	должна быть	2	3
55	и то	3	3
56	противном случае	2	3
57	а между	2	3
58	и с	2	3
59	их и	2	2
60	все они	2	2
61	по крайней	2	2
62	бы то	3	2
63	а как	2	2
64	ни было	3	2
65	у нас	3	2
66	если не	2	2
67	могли бы	2	2
68	вопроса о	2	2
69	одним из	2	2
70	не все	2	2
71	крайней мере	2	2
72	в их	4	2
73	для этого	3	2
74	и только	5	2
75	хотя бы	5	2
76	даже и	2	2
