N	2gram	Propp_Russ_1	NovoeSre
1	а не	2	17
2	не может	4	16
3	и в	36	16
4	и не	6	11
5	что в	19	9
6	как не	2	8
7	в том	17	8
8	как и	10	7
9	в этом	12	7
10	может быть	8	7
11	но это	4	6
12	в нем	2	5
13	все это	6	5
14	в жизни	2	5
15	и к	3	5
16	в ней	2	5
17	не только	22	5
18	не менее	3	4
19	то что	6	4
20	в них	6	4
21	это не	10	4
22	не было	2	4
23	не имеет	6	4
24	и для	2	4
25	потому что	10	4
26	о том	8	4
27	значит что	2	4
28	и потому	2	4
29	к жизни	3	3
30	но и	16	3
31	и начало	2	3
32	во всех	4	3
33	не означает	2	3
34	и пр	2	3
35	к тому	4	3
36	с тем	8	3
37	в прошлом	2	3
38	как в	5	3
39	она не	2	3
40	еще не	4	3
41	в россии	4	3
42	к ним	3	3
43	не значит	2	3
44	у него	2	2
45	вместе с	10	2
46	но она	2	2
47	так и	7	2
48	что она	2	2
49	для этого	2	2
50	а в	9	2
51	все эти	2	2
52	думать что	3	2
53	уже не	6	2
54	такой же	2	2
55	но не	2	2
56	так же	3	2
57	по существу	4	2
58	мы не	6	2
59	том что	19	2
60	в русском	4	2
61	связаны с	3	2
62	одна из	4	2
63	и с	2	2
64	и что	4	2
65	могут быть	2	2
66	с этим	2	2
67	и на	10	2
68	как будто	5	2
69	как это	8	2
70	хотя и	2	2
71	должно было	2	2
72	но в	2	2
73	еще до	2	2
