N	2gram	Propp_Morf_1	FransuaR
1	и в	13	29
2	таким образом	21	20
3	и не	12	16
4	в этой	2	13
5	как и	3	12
6	но в	2	12
7	так и	6	11
8	в этом	14	11
9	то же	7	10
10	во время	6	10
11	как мы	6	10
12	в то	3	10
13	не только	4	10
14	вовсе не	4	9
15	но и	4	9
16	все эти	2	9
17	его в	2	9
18	прежде всего	9	8
19	как бы	3	8
20	так же	3	7
21	в том	6	7
22	так как	16	7
23	из них	3	6
24	в большинстве	3	6
25	в сущности	3	6
26	это не	6	5
27	это и	2	5
28	далеко не	5	5
29	большинстве случаев	3	5
30	и по	2	5
31	сказать что	2	5
32	перед нами	10	4
33	с его	2	4
34	в нашем	3	4
35	в образе	4	4
36	что он	4	4
37	играют в	2	4
38	но это	6	4
39	по своему	2	4
40	есть и	4	4
41	еще не	3	4
42	и есть	2	4
43	и др	10	4
44	один из	5	4
45	то что	8	4
46	на самом	4	4
47	с другой	8	4
48	связана с	3	4
49	также и	4	4
50	в результате	7	4
51	тем что	4	4
52	точки зрения	2	4
53	в которой	3	4
54	тому как	5	3
55	в частности	2	3
56	в качестве	5	3
57	и здесь	5	3
58	а затем	4	3
59	все же	7	3
60	но как	2	3
61	том что	4	3
62	и как	5	3
63	мы видим	13	3
64	то в	3	3
65	имеется в	3	3
66	более или	2	3
67	мы можем	2	3
68	животных и	3	3
69	того что	3	3
70	и их	2	3
71	он не	3	3
72	к нему	3	3
73	здесь не	2	3
74	или менее	2	3
75	другой стороны	4	3
76	и за	2	3
77	того чтобы	3	3
78	для того	2	3
79	подобно тому	6	3
80	там где	5	3
81	до наших	2	2
82	в основу	2	2
83	сам он	3	2
84	связи с	10	2
85	и другие	6	2
86	к этому	3	2
87	в этих	13	2
88	два раза	2	2
89	по всему	2	2
90	но мы	3	2
91	в различных	2	2
92	к тому	4	2
93	и к	4	2
94	на первый	3	2
95	одному из	3	2
96	что они	2	2
97	мы увидим	8	2
98	на этом	3	2
99	но не	4	2
100	то время	3	2
101	не может	14	2
102	на его	4	2
103	может быть	52	2
104	но оно	2	2
105	хотя и	3	2
106	наших дней	2	2
107	уже не	2	2
108	а также	4	2
109	их как	2	2
110	если в	5	2
111	со стороны	3	2
112	на котором	3	2
113	и для	2	2
114	его и	2	2
115	как в	3	2
116	не на	2	2
117	в других	3	2
118	с точки	2	2
119	друг друга	3	2
120	или в	4	2
121	как будто	2	2
122	только в	2	2
123	в один	3	2
124	о том	2	2
125	если же	5	2
126	и этим	5	2
127	живой и	2	2
128	в числе	2	2
