N	2gram	Vinokur_St_3	Morfolog
1	может быть	19	52
2	и т	8	49
3	т д	2	47
4	и пр	13	40
5	таким образом	10	20
6	не может	7	17
7	т е	8	16
8	в этих	11	16
9	могут быть	2	15
10	с этим	7	14
11	и в	25	13
12	в этом	24	13
13	действующих лиц	4	13
14	и др	4	12
15	так как	3	12
16	мы видим	4	11
17	связи с	3	11
18	заметить что	2	10
19	прежде всего	10	9
20	так и	5	9
21	в связи	3	9
22	то же	5	9
23	и не	10	9
24	а не	5	9
25	мы имеем	5	9
26	с другой	5	8
27	при помощи	2	8
28	в результате	2	8
29	представляет собою	2	7
30	в качестве	4	7
31	д г	2	7
32	все же	4	7
33	имеем в	2	7
34	это не	7	6
35	и здесь	3	6
36	в том	20	6
37	но не	2	6
38	а также	4	6
39	в форме	2	6
40	а в	6	6
41	во время	3	6
42	не менее	2	5
43	во всех	2	5
44	как бы	6	5
45	один из	2	5
46	то что	12	5
47	или в	2	5
48	потому что	5	5
49	мы не	2	5
50	что в	19	4
51	на котором	2	4
52	раньше чем	3	4
53	вовсе не	2	4
54	об этом	5	4
55	что его	2	4
56	тем не	2	4
57	было бы	7	4
58	на его	4	4
59	несмотря на	3	4
60	не только	12	4
61	в некоторых	3	4
62	как в	6	4
63	как мы	2	4
64	другой стороны	5	4
65	как и	4	4
66	тем что	19	4
67	точки зрения	7	4
68	с точки	4	4
69	на этом	3	4
70	если в	2	4
71	ничего не	4	4
72	только что	2	3
73	связана с	4	3
74	сам он	2	3
75	независимо от	5	3
76	если бы	4	3
77	а то	2	3
78	вступают в	2	3
79	в начале	4	3
80	в какой	3	3
81	в последнем	2	3
82	том что	15	3
83	но все	2	3
84	но это	4	3
85	что они	2	3
86	в целом	4	3
87	кроме того	3	3
88	в сущности	2	3
89	во втором	2	3
90	он не	5	3
91	не является	3	3
92	ни в	5	3
93	но и	9	3
94	от того	2	3
95	самом деле	2	3
96	из которых	4	3
97	и по	2	3
98	к нему	4	3
99	и для	4	3
100	а по	2	3
101	можно назвать	4	3
102	и ее	2	3
103	в то	7	3
104	но в	5	3
105	и более	3	2
106	с тем	4	2
107	в виде	3	2
108	и за	2	2
109	что эта	2	2
110	состоит в	4	2
111	к этому	3	2
112	что он	19	2
113	утверждать что	2	2
114	б в	3	2
115	можно сказать	4	2
116	и к	4	2
117	в в	3	2
118	из его	7	2
119	то в	4	2
120	только в	6	2
121	то время	4	2
122	для него	3	2
123	одной стороны	3	2
124	но есть	2	2
125	одной из	2	2
126	себя и	2	2
127	сюда относятся	2	2
128	и тогда	2	2
129	как например	8	2
130	и только	2	2
131	а а	6	2
132	а с	2	2
133	с одной	2	2
134	все эти	3	2
135	и что	3	2
136	того что	5	2
137	для того	2	2
138	что такое	7	2
139	уже не	3	2
140	представляют собою	3	2
141	не имеет	2	2
142	и его	3	2
143	в отдельных	4	2
144	в каком	4	2
145	в другом	3	2
146	что мы	3	2
147	о том	8	2
148	что эти	4	2
149	одна из	2	2
150	сказать что	4	2
151	время как	4	2
152	это было	8	2
