N	2gram	Vygotskiy__7	UchenyiS
1	и в	26	14
2	а не	6	10
3	не только	24	10
4	и не	18	8
5	прежде всего	7	8
6	то что	24	7
7	в этом	29	7
8	не может	11	7
9	может быть	7	6
10	все это	3	5
11	и только	4	5
12	то же	8	5
13	но и	11	4
14	в этой	3	4
15	конечном счете	2	4
16	в их	2	4
17	с другой	4	4
18	в конечном	2	4
19	как такового	2	3
20	только к	2	3
21	но в	4	3
22	как и	15	3
23	и то	7	3
24	все же	6	3
25	в своей	3	3
26	очевидно что	3	3
27	для этого	3	3
28	для него	3	3
29	это не	3	3
30	в то	3	3
31	было бы	6	3
32	нашему мнению	2	3
33	в области	4	3
34	у нас	2	3
35	смысле этого	3	2
36	том что	17	2
37	но не	3	2
38	в том	18	2
39	является в	5	2
40	мы не	7	2
41	не есть	4	2
42	не в	4	2
43	и для	5	2
44	но это	3	2
45	мы и	2	2
46	представляется нам	3	2
47	о чем	4	2
48	если бы	5	2
49	нас в	2	2
50	только в	8	2
51	и с	5	2
52	тем что	9	2
53	сих пор	3	2
54	могут быть	2	2
55	его и	2	2
56	что он	8	2
57	вопроса о	2	2
58	в себе	9	2
59	как раз	3	2
60	до сих	3	2
61	что мы	9	2
62	же самое	5	2
63	в конце	4	2
64	могли бы	5	2
65	этого термина	2	2
66	что все	2	2
67	этом отношении	3	2
68	в самом	9	2
69	не могут	4	2
70	по себе	3	2
71	одним из	2	2
72	ничего не	2	2
73	самом деле	6	2
74	что она	8	2
75	и является	3	2
76	что и	3	2
77	в его	4	2
78	таким образом	23	2
