N	3gram	Losev_Dial_1	Problema
1	и т п	2	13
2	не может быть	3	11
3	с точки зрения	12	6
4	с другой стороны	4	4
5	то же время	4	3
6	в то же	4	3
7	с одной стороны	2	3
8	можно было бы	4	3
9	и в нем	2	3
10	на самом деле	2	3
11	в этом смысле	3	3
12	в том что	7	3
13	не может и	3	2
14	то или иное	2	2
15	той или иной	3	2
16	и не должна	2	2
17	ни в чем	2	2
18	никогда не может	2	2
19	может и не	2	2
20	и в то	2	2
21	можно сказать что	3	2
22	и в частности	2	2
23	в этом отношении	2	2
24	мы можем сказать	2	2
25	точки зрения самого	2	2
