N	2gram	Propp_Isto_5	Stilisti
1	и в	25	42
2	как бы	2	27
3	не только	13	27
4	прежде всего	6	22
5	но и	13	15
6	то же	4	15
7	и не	11	14
8	может быть	17	12
9	не может	6	12
10	точки зрения	2	11
11	как и	7	11
12	мы уже	4	11
13	и как	3	10
14	что мы	2	10
15	мы должны	4	10
16	как мы	5	10
17	в этом	10	10
18	в то	3	9
19	то что	7	9
20	для того	3	9
21	мы не	5	9
22	все же	10	8
23	в ней	5	8
24	таким образом	9	8
25	с тем	8	8
26	и это	4	8
27	никогда не	3	7
28	и тем	4	7
29	и на	8	7
30	потому что	7	7
31	так как	11	7
32	а не	2	7
33	того чтобы	3	7
34	и его	9	7
35	мы можем	2	7
36	только в	7	7
37	в которой	4	7
38	ничего не	2	7
39	не в	6	6
40	в этой	3	6
41	в свою	3	6
42	в форме	3	6
43	язык и	2	6
44	в нем	7	6
45	во всех	2	6
46	или как	2	6
47	уже в	2	5
48	мы видели	7	5
49	а в	3	5
50	и с	3	5
51	в его	12	5
52	вместе с	22	5
53	что это	5	4
54	можно сказать	2	4
55	но все	5	4
56	в качестве	7	4
57	один из	2	4
58	все это	4	4
59	того что	2	4
60	так же	5	4
61	о том	7	4
62	его в	9	4
63	если бы	2	4
64	с появлением	5	4
65	мы видим	8	4
66	не знаем	3	4
67	мы увидим	5	4
68	себя в	6	4
69	на него	8	4
70	уже не	11	4
71	самом деле	2	4
72	и пр	3	4
73	его и	2	3
74	что у	4	3
75	перед нами	2	3
76	это не	6	3
77	приближается к	2	3
78	этом случае	7	3
79	для нас	5	3
80	мы легко	2	3
81	здесь мы	5	3
82	но для	2	3
83	в целом	3	3
84	из них	2	3
85	жизни и	2	3
86	их в	3	3
87	сказать что	2	3
88	и здесь	7	3
89	видели что	2	3
90	бы мы	2	3
91	и все	3	3
92	об этом	2	3
93	в ее	4	3
94	том что	8	3
95	социальной жизни	2	3
96	еще не	8	3
97	должно было	2	3
98	что и	6	3
99	если не	4	3
100	и для	2	3
101	роль в	2	3
102	связи с	8	3
103	в частности	7	2
104	человека и	2	2
105	человека в	3	2
106	не всегда	4	2
107	вопрос о	2	2
108	в том	6	2
109	но это	7	2
110	очевидно что	2	2
111	в пределах	4	2
112	и сам	2	2
113	несмотря на	2	2
114	в него	5	2
115	из двух	2	2
116	но мы	3	2
117	в этих	6	2
118	в связи	4	2
119	все эти	8	2
120	его не	3	2
121	в которых	3	2
122	мы имеем	14	2
123	с этим	5	2
124	к этому	2	2
125	связанные с	2	2
126	ясно что	5	2
127	что он	22	2
128	видим что	5	2
129	ли он	2	2
130	только тогда	2	2
131	и при	2	2
132	представляет собой	7	2
133	но не	5	2
134	а на	2	2
135	связано с	5	2
136	как таковое	2	2
137	вошел в	2	2
138	и потому	2	2
139	в своей	2	2
140	с ней	2	2
141	сих пор	2	2
142	связь с	8	2
143	как в	6	2
144	опять не	2	2
145	выражения как	2	2
146	из которых	2	2
147	и он	6	2
148	к нему	3	2
149	в дальнейшем	4	2
150	с ним	4	2
151	или в	6	2
152	тем что	10	2
153	это же	3	2
154	и вообще	3	2
