N	2gram	Vinokur_Vv_1	Sovremen
1	не может	13	17
2	точки зрения	7	12
3	может быть	24	12
4	таким образом	19	11
5	мы не	2	9
6	в каждом	4	8
7	в этом	34	7
8	и в	27	7
9	и не	13	6
10	как и	5	6
11	в результате	3	6
12	мы можем	2	6
13	ничего не	2	6
14	что же	3	5
15	прежде всего	8	5
16	все эти	3	5
17	с точки	2	5
18	как бы	5	4
19	мы видели	2	4
20	в целом	5	4
21	жизни и	2	4
22	вместе с	6	4
23	это не	8	4
24	а в	5	4
25	вопрос о	8	4
26	не только	21	4
27	же это	2	4
28	в том	31	4
29	в дальнейшем	2	4
30	из них	3	4
31	так как	13	4
32	уже в	5	3
33	все же	8	3
34	на этой	3	3
35	все это	6	3
36	мы называем	2	3
37	в конце	3	3
38	то же	8	3
39	ясно что	9	3
40	в нем	13	3
41	а не	3	3
42	из двух	2	3
43	у нас	2	3
44	когда мы	2	3
45	не в	8	3
46	в этой	3	3
47	одна из	2	3
48	так называемых	4	3
49	еще не	4	3
50	при этом	3	3
51	было бы	5	3
52	и т.д	4	3
53	в одном	4	3
54	как он	6	3
55	в первом	5	3
56	в себе	4	3
57	в области	4	3
58	что она	3	3
59	но в	10	3
60	не могут	5	2
61	что это	3	2
62	не менее	8	2
63	и есть	3	2
64	в виде	4	2
65	и именно	12	2
66	значение в	2	2
67	быть и	2	2
68	на котором	2	2
69	в отличие	3	2
70	из этих	5	2
71	или же	3	2
72	с одной	4	2
73	как мы	9	2
74	уже не	5	2
75	самом деле	6	2
76	и что	4	2
77	в и	4	2
78	из которых	2	2
79	что такое	10	2
80	на этот	4	2
81	и даже	5	2
82	тем не	8	2
83	той же	4	2
84	только так	2	2
85	но все	3	2
86	во всяком	3	2
87	на этом	3	2
88	научного исследования	4	2
89	времени и	4	2
90	могут быть	4	2
91	с этим	2	2
92	что в	11	2
93	говорить о	3	2
94	же самое	2	2
95	если же	2	2
96	такого рода	2	2
97	в самом	12	2
98	ни одна	2	2
99	отличие от	3	2
100	в его	10	2
101	всяком случае	3	2
