N	2gram	Losev_Prob_4	Hudozhes
1	том что	12	16
2	и в	20	14
3	так и	10	13
4	а не	7	12
5	в том	20	12
6	не только	24	12
7	при этом	6	12
8	о том	5	12
9	прежде всего	11	11
10	и т	4	11
11	в этом	9	11
12	в себе	12	11
13	для него	3	10
14	в своей	4	10
15	что он	8	9
16	как и	6	9
17	в качестве	10	9
18	то же	7	9
19	как в	5	8
20	то что	15	8
21	в этой	4	8
22	в то	4	8
23	в его	3	8
24	казалось бы	3	7
25	это не	7	7
26	к тому	3	7
27	уже не	5	7
28	не в	13	7
29	еще не	7	7
30	как бы	4	7
31	не может	5	7
32	именно в	7	7
33	а в	4	7
34	что в	3	6
35	было бы	14	6
36	жизни в	2	6
37	человека в	3	6
38	не менее	10	5
39	перед нами	13	5
40	с его	2	5
41	в частности	2	5
42	в этих	5	5
43	об этом	6	5
44	может быть	9	5
45	только в	23	5
46	и он	2	5
47	но и	14	5
48	жизни и	5	5
49	самом деле	3	5
50	друг друга	2	5
51	и его	10	5
52	можно было	4	5
53	потому что	15	5
54	ни в	17	5
55	точки зрения	14	5
56	человеческих отношений	4	5
57	но в	8	5
58	связи с	3	4
59	в своем	3	4
60	столь же	2	4
61	и от	6	4
62	и все	8	4
63	можно сказать	5	4
64	и к	3	4
65	а только	6	4
66	тем не	10	4
67	то в	2	4
68	несмотря на	4	4
69	в самом	2	4
70	и о	5	4
71	в ней	7	4
72	что она	4	4
73	себя в	2	4
74	из них	3	4
75	как раз	4	4
76	не было	3	4
77	человеческой жизни	5	4
78	только что	2	4
79	он не	2	4
80	как будто	11	4
81	в конце	2	4
82	и это	2	4
83	с ним	4	4
84	и с	7	4
85	но не	5	3
86	если бы	8	3
87	отнюдь не	10	3
88	с этим	4	3
89	же в	4	3
90	в литературе	2	3
91	как мы	3	3
92	в ее	5	3
93	говорить о	2	3
94	по своему	6	3
95	в пределах	2	3
96	такого рода	7	3
97	по преимуществу	2	3
98	и когда	2	3
99	для себя	2	3
100	в нем	5	3
101	все же	2	3
102	то и	5	3
103	в связи	3	3
104	т д	3	3
105	и для	4	3
106	все эти	16	3
107	она в	2	3
108	того чтобы	2	3
109	и даже	9	3
110	с точки	11	3
111	и по	2	3
112	в таком	6	3
113	тем что	3	3
114	и на	3	3
115	будто бы	2	3
116	его в	2	3
117	а также	6	3
118	едва ли	10	3
119	том как	2	3
120	ни к	2	2
121	и другое	3	2
122	однако в	2	2
123	и потому	7	2
124	ясно что	7	2
125	или иного	3	2
126	по себе	11	2
127	к своему	2	2
128	остановимся на	2	2
129	да и	5	2
130	так что	6	2
131	в другом	3	2
132	и что	2	2
133	мы читаем	2	2
134	а то	2	2
135	одной из	4	2
136	на себе	3	2
137	себе и	3	2
138	на его	2	2
139	только на	2	2
140	в начале	3	2
141	а его	2	2
142	никак не	4	2
143	хотя и	5	2
144	только для	3	2
145	все это	9	2
146	и каждый	2	2
147	все равно	3	2
148	и не	28	2
149	на самом	5	2
150	там же	2	2
151	в значительной	2	2
152	что не	4	2
153	того или	3	2
154	не имеет	4	2
155	в это	2	2
156	с ними	2	2
157	в результате	8	2
158	с ее	2	2
159	за ним	2	2
160	в художественном	4	2
161	нет ничего	3	2
162	но как	3	2
163	здесь не	7	2
164	не раз	2	2
165	которая не	3	2
166	мы не	7	2
