N	2gram	Vinokur_Ku_1	Vladivir
1	и в	24	40
2	то что	9	28
3	и не	12	25
4	не только	10	25
5	учение о	4	24
6	но и	6	18
7	в том	30	18
8	том что	21	18
9	еще и	5	18
10	что в	17	17
11	также и	2	17
12	в этом	14	16
13	так что	4	14
14	в его	12	14
15	не может	7	14
16	точки зрения	14	13
17	вовсе не	10	13
18	только в	11	13
19	а именно	2	12
20	даже и	3	12
21	никогда не	2	11
22	таким образом	12	11
23	потому что	23	11
24	о том	9	11
25	прежде всего	9	10
26	тем не	4	10
27	ни в	2	10
28	это есть	2	10
29	то это	3	10
30	не просто	5	10
31	и потому	4	10
32	не есть	4	10
33	как раз	8	10
34	и его	5	10
35	не менее	7	9
36	что это	5	9
37	уже не	8	9
38	и с	5	9
39	и то	3	9
40	в своей	2	9
41	что же	6	9
42	в себе	3	9
43	в своем	3	8
44	в этой	3	8
45	может быть	13	8
46	так же	4	8
47	и что	5	8
48	он не	2	8
49	а не	8	8
50	что все	2	7
51	к тому	5	7
52	а только	8	7
53	и как	2	7
54	несмотря на	3	7
55	и если	3	7
56	хотя и	3	7
57	а в	5	7
58	так как	9	7
59	с тем	5	7
60	того что	9	7
61	в то	2	7
62	что и	4	7
63	вместе с	7	7
64	как и	2	7
65	и здесь	3	6
66	и даже	3	6
67	не мог	2	6
68	и на	4	6
69	по себе	2	6
70	xix века	5	6
71	в смысле	2	6
72	так и	7	6
73	иной раз	2	6
74	если не	3	6
75	хотя бы	10	6
76	с точки	9	6
77	с другой	7	5
78	для нас	2	5
79	но если	2	5
80	должно быть	3	5
81	не было	3	5
82	все эти	6	5
83	только и	3	5
84	в ней	6	5
85	в истории	3	5
86	же касается	4	5
87	в одном	3	5
88	что он	6	5
89	у нас	10	5
90	между прочим	2	5
91	или менее	3	5
92	можно было	6	5
93	в данном	4	5
94	тем что	8	5
95	более или	3	5
96	ничего не	2	5
97	тому что	3	4
98	вопрос о	2	4
99	на то	4	4
100	что если	2	4
101	до конца	2	4
102	в самом	10	4
103	в котором	3	4
104	не имеет	2	4
105	бы и	2	4
106	в результате	5	4
107	как это	3	4
108	и все	2	4
109	не с	3	4
110	по существу	4	4
111	но не	5	4
112	указать на	4	4
113	еще не	5	4
114	было бы	15	4
115	никак не	2	4
116	даже в	3	4
117	то же	8	4
118	а с	3	4
119	если мы	2	4
120	в каком	2	4
121	все же	12	4
122	но в	2	4
123	уже в	3	3
124	я не	2	3
125	в качестве	7	3
126	это не	7	3
127	из этих	4	3
128	но все	2	3
129	при этом	6	3
130	как бы	7	3
131	в виду	5	3
132	всяком случае	5	3
133	был бы	2	3
134	и тем	2	3
135	в нем	4	3
136	и против	2	3
137	в связи	3	3
138	именно в	6	3
139	с большим	3	3
140	как на	3	3
141	не столько	2	3
142	как именно	2	3
143	сводится к	3	3
144	но вот	2	3
145	мы имеем	6	3
146	этого не	2	3
147	нисколько не	3	3
148	если бы	9	3
149	в духе	3	3
150	этом смысле	3	3
151	же в	4	3
152	с их	3	3
153	оно не	3	3
154	не все	2	3
155	ее в	2	3
156	на самом	2	3
157	того чтобы	17	3
158	не в	11	3
159	и для	2	3
160	в таком	3	3
161	во всяком	5	3
162	которое в	2	3
163	и вовсе	5	3
164	здесь не	3	3
165	это было	2	3
166	не могут	2	2
167	должна быть	3	2
168	в сторону	2	2
169	можно ли	2	2
170	в этих	4	2
171	в какой	6	2
172	с этой	2	2
173	к своему	2	2
174	что его	2	2
175	же время	2	2
176	не имеют	3	2
177	же и	2	2
178	себе и	2	2
179	так или	2	2
180	не является	2	2
181	в целом	4	2
182	что она	3	2
183	в их	3	2
184	другой стороны	6	2
185	то и	2	2
186	в разных	2	2
187	бы на	2	2
188	этом отношении	5	2
189	что касается	2	2
190	на более	2	2
191	себе в	3	2
192	и еще	2	2
193	бы в	7	2
194	с его	4	2
195	и более	2	2
196	с этим	4	2
197	быть в	2	2
198	в силу	10	2
199	а то	2	2
200	того же	4	2
201	в это	2	2
202	из них	4	2
203	в сущности	3	2
204	но еще	3	2
205	по преимуществу	2	2
206	только к	2	2
207	со стороны	4	2
208	но уже	5	2
209	не на	4	2
210	но с	2	2
211	тем самым	4	2
212	для того	16	2
213	свидетельствует о	2	2
214	роль в	4	2
215	или иначе	2	2
216	от этого	2	2
217	когда оно	2	2
218	на себя	3	2
219	как например	2	2
220	связи с	7	2
221	а если	3	2
222	которые можно	2	2
223	в которой	6	2
224	как с	2	2
