N	2gram	Vygotskiy__2	Sovremen
1	не может	9	17
2	точки зрения	26	12
3	может быть	9	12
4	таким образом	14	11
5	мы не	10	9
6	не можем	3	7
7	в этом	19	7
8	и в	15	7
9	и не	7	6
10	как и	6	6
11	в результате	3	6
12	мы можем	10	6
13	ничего не	3	6
14	что же	2	5
15	прежде всего	4	5
16	все эти	3	5
17	с точки	18	5
18	как бы	7	4
19	нет и	2	4
20	в развитии	26	4
21	мы видели	6	4
22	если мы	6	4
23	в целом	10	4
24	вместе с	6	4
25	в зависимости	6	4
26	это не	5	4
27	а в	4	4
28	вопрос о	5	4
29	не только	15	4
30	с помощью	5	4
31	же это	2	4
32	в том	33	4
33	их в	4	4
34	из них	3	4
35	точку зрения	6	4
36	мы должны	6	4
37	зависимости от	6	4
38	так как	4	4
39	уже в	5	3
40	но мы	3	3
41	все же	4	3
42	на этой	2	3
43	видели что	5	3
44	отнюдь не	2	3
45	все это	4	3
46	то же	5	3
47	а не	3	3
48	и к	6	3
49	из двух	3	3
50	для нас	4	3
51	не в	8	3
52	в этой	6	3
53	так называемых	2	3
54	он в	3	3
55	при этом	3	3
56	было бы	10	3
57	и т.д	12	3
58	и мы	2	3
59	в одном	2	3
60	и все	3	3
61	как он	6	3
62	в себе	2	3
63	следующим образом	2	3
64	что она	3	3
65	но в	6	3
66	этих двух	2	2
67	не могут	2	2
68	что это	6	2
69	и есть	2	2
70	в некоторых	2	2
71	у него	2	2
72	значение в	3	2
73	приводит к	5	2
74	в отличие	3	2
75	из этих	4	2
76	что все	4	2
77	с одной	7	2
78	каждая из	2	2
79	как мы	6	2
80	развития в	6	2
81	или иной	2	2
82	самом деле	6	2
83	и что	8	2
84	что при	3	2
85	из которых	3	2
86	на этот	6	2
87	к чему	2	2
88	и даже	5	2
89	самый вопрос	2	2
90	и по	3	2
91	мы знаем	7	2
92	он должен	2	2
93	той же	2	2
94	мы видим	4	2
95	но все	2	2
96	свою собственную	2	2
97	во всяком	7	2
98	могут быть	2	2
99	с этим	3	2
100	как известно	6	2
101	что в	14	2
102	не дает	2	2
103	говорить о	2	2
104	с другом	2	2
105	тот же	7	2
106	же самое	2	2
107	в один	2	2
108	в самом	11	2
109	друг с	2	2
110	в которой	4	2
111	отличие от	3	2
112	в его	2	2
113	всяком случае	6	2
114	все те	2	2
