N	2gram	Voloshinov_2	Psycholo
1	в том	7	37
2	и в	19	32
3	том что	10	21
4	то что	4	21
5	таким образом	14	21
6	то есть	2	21
7	что в	2	20
8	так же	5	18
9	может быть	28	18
10	что и	3	17
11	не может	18	17
12	точки зрения	17	17
13	самом деле	9	16
14	того чтобы	6	14
15	что он	4	13
16	при этом	9	13
17	то же	16	13
18	для того	6	13
19	в этом	15	13
20	по себе	3	12
21	если мы	6	12
22	в самом	6	12
23	не только	13	12
24	так как	3	12
25	на то	4	11
26	было бы	4	11
27	в основе	9	11
28	как и	9	10
29	но и	10	10
30	и не	19	10
31	с точки	13	10
32	никогда не	7	9
33	тем что	2	9
34	что это	2	8
35	не в	10	8
36	той же	3	8
37	того что	4	8
38	к тому	6	7
39	мы знаем	2	7
40	и как	6	7
41	а не	9	7
42	в сущности	14	7
43	все эти	3	7
44	и его	16	7
45	сказать что	4	7
46	только в	8	7
47	что они	2	7
48	все время	2	6
49	в этой	3	6
50	он не	3	6
51	как бы	19	6
52	формы и	2	6
53	же самое	6	6
54	о том	3	6
55	совершенно справедливо	2	6
56	если бы	11	6
57	отнюдь не	8	5
58	на все	2	5
59	в ней	3	5
60	далеко не	2	5
61	до сих	3	5
62	исходит из	3	5
63	сих пор	3	5
64	как раз	4	5
65	на самом	7	5
66	только на	4	5
67	и даже	2	5
68	как на	2	5
69	и на	5	5
70	в то	8	5
71	и более	7	4
72	столь же	3	4
73	в жизни	2	4
74	совершенно не	5	4
75	и тем	4	4
76	в нем	11	4
77	все же	5	4
78	жизни и	2	4
79	и до	3	4
80	а в	3	4
81	и все	6	4
82	не имеет	3	4
83	и для	7	4
84	в данном	5	4
85	в языке	7	4
86	тому что	4	4
87	и с	2	4
88	могут быть	3	4
89	с этим	3	4
90	если же	2	4
91	и это	3	4
92	ничего не	4	4
93	между тем	6	4
94	к которым	3	3
95	хотя бы	6	3
96	с другой	3	3
97	не как	3	3
98	но как	2	3
99	до конца	2	3
100	в свою	6	3
101	в своей	3	3
102	относится к	3	3
103	так и	10	3
104	не к	3	3
105	во всех	6	3
106	и их	4	3
107	и ее	4	3
108	в их	5	3
109	в отношении	4	3
110	имеет дело	2	3
111	еще более	2	3
112	что не	2	3
113	должны быть	2	3
114	и он	2	3
115	в смысле	6	3
116	в каком	3	3
117	и то	3	3
118	отношении к	5	3
119	того или	2	3
120	или же	2	3
121	но в	7	3
122	мы не	2	3
123	это было	2	3
124	мы можем	6	3
125	в узком	2	2
126	не существует	3	2
127	слова в	8	2
128	место в	2	2
129	с его	8	2
130	все более	2	2
131	то ни	5	2
132	в какой	3	2
133	это не	4	2
134	она является	3	2
135	и от	3	2
136	одного и	4	2
137	более и	2	2
138	с другими	3	2
139	на самую	2	2
140	или иного	2	2
141	во всяком	3	2
142	сводится к	2	2
143	и здесь	5	2
144	ни в	6	2
145	этом как	2	2
146	же время	8	2
147	тем более	5	2
148	свою очередь	5	2
149	еще не	3	2
150	но не	2	2
151	того же	5	2
152	но что	2	2
153	вовсе не	11	2
154	не имеют	3	2
155	к нему	5	2
156	и следовательно	6	2
157	подход к	2	2
158	в его	5	2
159	всяком случае	2	2
160	все те	4	2
161	в ее	3	2
162	не так	2	2
163	бы то	4	2
164	в этих	3	2
165	в процессе	18	2
166	вместе с	2	2
167	значение в	4	2
168	значение и	2	2
169	не на	2	2
170	бы не	2	2
171	в особенности	2	2
172	а с	2	2
173	не было	3	2
174	что оно	3	2
175	здесь мы	3	2
176	и у	2	2
177	форму и	3	2
178	которой мы	2	2
179	отличие от	3	2
180	в таком	7	2
181	ли это	2	2
182	в себе	4	2
183	в русском	4	2
184	ответ на	2	2
185	там где	2	2
