N	2gram	Bakhtin_Fr_8	Problema
1	и не	9	28
2	то есть	24	27
3	не только	8	24
4	только в	9	23
5	в виде	2	22
6	вовсе не	6	21
7	в том	13	20
8	и в	56	20
9	ни в	2	17
10	не просто	3	16
11	все эти	15	16
12	то что	3	15
13	потому что	6	15
14	было бы	2	14
15	той или	2	14
16	но и	9	14
17	точки зрения	6	14
18	перед нами	3	13
19	не в	3	13
20	также и	2	13
21	в нашем	2	12
22	в себе	4	12
23	том что	8	12
24	прежде всего	6	11
25	с точки	2	11
26	в качестве	4	10
27	так и	13	10
28	и его	12	10
29	может быть	3	9
30	все это	8	9
31	и даже	8	9
32	в этом	14	9
33	если бы	2	8
34	что он	2	8
35	таким образом	17	8
36	в той	6	8
37	в результате	5	8
38	и все	6	8
39	но в	6	8
40	с другой	2	7
41	это не	2	7
42	еще не	10	7
43	мы не	2	7
44	и потому	4	7
45	то же	11	7
46	а не	2	7
47	сказать что	3	7
48	и с	8	7
49	в ней	4	7
50	всех этих	3	6
51	так что	3	6
52	а также	3	6
53	как и	5	6
54	но это	2	6
55	по своему	8	6
56	при этом	4	6
57	другой стороны	2	6
58	в данном	2	6
59	в каком	2	6
60	но не	5	5
61	на самом	2	5
62	хотя и	2	5
63	в нем	8	5
64	здесь в	3	5
65	можно сказать	2	5
66	в ее	6	5
67	действительности и	2	5
68	и о	3	5
69	вместе с	2	5
70	данном случае	2	5
71	так же	2	5
72	не может	2	5
73	в них	11	5
74	так как	4	5
75	уже не	3	5
76	в этих	11	5
77	о том	4	5
78	уже в	2	4
79	времени и	4	4
80	с тем	2	4
81	в отношении	5	4
82	и для	2	4
83	и во	2	4
84	в одном	2	4
85	и ее	4	4
86	в этой	6	4
87	только не	2	4
88	кроме того	3	4
89	одной из	3	4
90	ни о	2	4
91	несмотря на	2	4
92	в своей	2	4
93	что она	2	4
94	как бы	11	4
95	и образ	2	4
96	во всех	8	4
97	ни с	5	4
98	а в	2	4
99	и наконец	3	4
100	как раз	2	4
101	в то	12	4
102	здесь как	2	4
103	с ним	2	4
104	нет ни	2	4
105	в связи	3	3
106	и более	4	3
107	казалось бы	3	3
108	все они	6	3
109	сливаются в	3	3
110	о себе	2	3
111	с собой	2	3
112	в условиях	5	3
113	и к	4	3
114	как мы	7	3
115	он был	12	3
116	для него	2	3
117	здесь мы	3	3
118	и как	2	3
119	связи с	6	3
120	себе и	2	3
121	конечно не	4	3
122	образы и	4	3
123	в его	18	3
124	здесь нет	3	3
125	что и	3	3
126	что в	5	3
127	дело не	2	3
128	бы и	2	3
129	в своем	3	3
130	не было	5	3
131	еще и	3	3
132	является и	2	3
133	самом деле	2	3
134	для того	2	3
135	из которых	2	3
136	к нему	2	3
137	и на	7	3
138	из них	2	3
139	к его	3	3
140	в другом	3	3
141	гоголя и	2	3
142	в области	5	3
143	эти образы	3	2
144	в известном	2	2
145	в частности	7	2
146	в литературе	3	2
147	с его	5	2
148	с такою	2	2
149	новое и	3	2
150	что они	2	2
151	то время	2	2
152	в пределах	5	2
153	весь этот	2	2
154	что это	4	2
155	на его	6	2
156	в самом	9	2
157	за пределы	4	2
158	по преимуществу	2	2
159	между собою	2	2
160	он не	5	2
161	в котором	2	2
162	не могли	2	2
163	все же	2	2
164	с ее	5	2
165	вся эта	2	2
166	был в	2	2
167	говорит о	2	2
168	или менее	2	2
169	только на	2	2
170	в совершенно	4	2
171	мы находим	3	2
172	того чтобы	4	2
173	ни было	2	2
174	в других	2	2
175	в значительной	2	2
176	и то	2	2
177	во всем	4	2
178	во все	3	2
179	и совершенно	2	2
180	далеко не	2	2
181	его в	2	2
182	дело в	2	2
183	этих образов	2	2
184	очень много	2	2
185	в которой	4	2
186	более или	2	2
187	но по	4	2
