N	2gram	Bakhtin_Fr_8	Psycholo
1	то что	3	44
2	и в	56	33
3	в этом	14	28
4	как бы	11	25
5	потому что	6	24
6	для того	2	23
7	может быть	3	22
8	том что	8	22
9	того чтобы	4	22
10	что в	5	21
11	в том	13	21
12	о том	4	20
13	что он	2	20
14	что это	4	13
15	таким образом	17	13
16	и не	9	13
17	так же	2	13
18	сказать что	3	13
19	то есть	24	13
20	все это	8	13
21	в самом	9	12
22	и все	6	12
23	так как	4	12
24	было бы	2	12
25	самом деле	2	12
26	что все	4	11
27	он не	5	11
28	что она	2	10
29	не может	2	10
30	в его	18	10
31	если бы	2	10
32	в этой	6	9
33	как раз	2	9
34	то же	11	9
35	в каком	2	8
36	вместе с	2	8
37	в своем	3	7
38	до конца	11	7
39	так что	3	7
40	в нем	8	7
41	не только	8	7
42	когда он	2	7
43	перед нами	3	6
44	это не	2	6
45	что они	2	6
46	в ней	4	6
47	все эти	15	6
48	но он	3	6
49	точки зрения	6	6
50	во время	5	6
51	у него	7	6
52	мы видим	6	6
53	в сущности	8	6
54	на самом	2	6
55	а не	2	6
56	в себе	4	6
57	казалось бы	3	5
58	никогда не	5	5
59	и как	2	5
60	целый ряд	2	5
61	мы не	2	5
62	что для	3	5
63	и на	7	5
64	вовсе не	6	5
65	и совершенно	2	5
66	с ним	2	5
67	связь с	3	5
68	как и	5	5
69	мы уже	10	5
70	и его	12	5
71	все же	2	5
72	в частности	7	4
73	это в	2	4
74	так например	2	4
75	из них	2	4
76	а в	2	4
77	и других	4	4
78	не просто	3	4
79	с этой	2	4
80	с тем	2	4
81	к этому	2	4
82	одна из	4	4
83	и о	3	4
84	говорит о	2	4
85	в своей	2	4
86	как мы	7	4
87	с точки	2	4
88	той же	6	4
89	только в	9	4
90	слова и	3	4
91	в которой	4	4
92	с одной	4	3
93	в мире	2	3
94	ни в	2	3
95	в пределах	5	3
96	одной стороны	2	3
97	например в	4	3
98	был бы	3	3
99	с ее	5	3
100	но и	9	3
101	и до	10	3
102	конечно не	4	3
103	не было	5	3
104	здесь мы	3	3
105	эпизод с	2	3
106	в своих	4	3
107	в которых	2	3
108	их в	4	3
109	и здесь	3	3
110	в то	12	3
111	во все	3	3
112	его в	2	3
113	нет ни	2	3
114	в основе	4	3
115	вот как	2	3
116	всех этих	3	3
117	значение имеет	2	3
118	из нее	2	3
119	в одном	2	3
120	но не	5	3
121	здесь в	3	3
122	до сих	8	3
123	он говорит	2	3
124	что и	3	3
125	сих пор	8	3
126	так и	13	3
127	во всей	2	3
128	из которых	2	3
129	и для	2	3
130	в виде	2	3
131	далеко не	2	3
132	в той	6	3
133	уже в	2	2
134	не был	4	2
135	бы и	2	2
136	с другой	2	2
137	прежде всего	6	2
138	для понимания	2	2
139	и конечно	2	2
140	такой же	5	2
141	времени и	4	2
142	же время	10	2
143	при этом	4	2
144	в действительности	2	2
145	мире в	2	2
146	себе и	2	2
147	все те	2	2
148	в котором	2	2
149	точка зрения	2	2
150	один из	5	2
151	о них	2	2
152	все они	6	2
153	в их	3	2
154	другой стороны	2	2
155	образом в	2	2
156	и наконец	3	2
157	в результате	5	2
158	и с	8	2
159	во всем	4	2
160	также и	2	2
161	не в	3	2
162	и потому	4	2
163	почти все	2	2
164	но в	6	2
165	с его	5	2
166	только не	2	2
167	в них	11	2
168	и к	4	2
169	видим что	2	2
170	и эти	2	2
171	в ее	6	2
172	а на	2	2
173	можно сказать	2	2
174	во всех	8	2
175	даже в	4	2
176	бы то	2	2
177	что эти	2	2
178	на две	2	2
179	не на	3	2
180	то время	2	2
181	и эта	2	2
182	ни одного	2	2
183	и то	2	2
184	и ее	4	2
185	связи с	6	2
186	не потому	2	2
