N	2gram	Potebnia_M_2	FransuaR
1	и в	24	29
2	то есть	30	21
3	таким образом	11	20
4	и не	19	16
5	и все	3	13
6	как и	7	12
7	но в	4	12
8	так и	5	11
9	и на	8	11
10	в этом	8	11
11	то же	12	10
12	во время	4	10
13	в то	6	10
14	не только	15	10
15	вовсе не	9	9
16	но и	9	9
17	все эти	2	9
18	его в	3	9
19	же время	2	8
20	прежде всего	7	8
21	в его	2	8
22	и его	2	8
23	как бы	9	8
24	в них	5	7
25	так же	2	7
26	в том	18	7
27	так как	10	7
28	из них	5	6
29	но он	2	6
30	что это	3	5
31	у него	2	5
32	это не	3	5
33	того же	14	5
34	далеко не	3	5
35	в нем	9	5
36	и по	2	5
37	рядом с	3	5
38	сказать что	2	5
39	только для	5	4
40	с его	2	4
41	в нашем	2	4
42	что он	4	4
43	но это	3	4
44	связанные с	2	4
45	еще не	4	4
46	и есть	2	4
47	один из	2	4
48	то что	20	4
49	все это	2	4
50	на самом	2	4
51	с другой	6	4
52	тем что	7	4
53	в которой	5	4
54	тому как	4	3
55	всех этих	2	3
56	превращается в	2	3
57	самого начала	2	3
58	и здесь	2	3
59	что у	2	3
60	все же	5	3
61	с самого	2	3
62	том что	8	3
63	и как	6	3
64	мы видим	2	3
65	такой же	4	3
66	были и	2	3
67	более или	8	3
68	мы можем	12	3
69	животных и	2	3
70	тот же	5	3
71	того что	7	3
72	той же	3	3
73	и их	5	3
74	или менее	8	3
75	другой стороны	2	3
76	при этом	13	3
77	и других	2	3
78	и они	2	3
79	образом в	4	3
80	того чтобы	2	3
81	для того	5	3
82	все остальные	5	3
83	с ними	3	3
84	в ней	3	3
85	подобно тому	4	3
86	в себе	10	3
87	там где	4	3
88	в чем	7	3
89	в эту	3	3
90	место в	4	2
91	уже в	5	2
92	бы не	5	2
93	связи с	6	2
94	время и	2	2
95	к этому	2	2
96	в этих	3	2
97	быть может	7	2
98	в жизни	2	2
99	но мы	3	2
100	но только	2	2
101	и тот	2	2
102	что они	5	2
103	есть в	2	2
104	на этом	2	2
105	но не	12	2
106	в себя	2	2
107	то время	4	2
108	одной стороны	3	2
109	было в	2	2
110	не может	12	2
111	может быть	23	2
112	между прочим	4	2
113	хотя и	3	2
114	никогда не	4	2
115	уже не	4	2
116	в котором	4	2
117	если в	3	2
118	со стороны	3	2
119	с таким	3	2
120	и для	3	2
121	ни с	2	2
122	но она	3	2
123	но эти	2	2
124	в словах	3	2
125	как в	10	2
126	не на	2	2
127	в других	4	2
128	с одной	4	2
129	они не	4	2
130	и у	3	2
131	между ними	2	2
132	не столько	2	2
133	друг друга	2	2
134	как на	3	2
135	в слове	13	2
136	или в	2	2
137	и то	3	2
138	их в	2	2
139	и при	3	2
140	даже и	2	2
141	только в	11	2
142	органов и	2	2
143	общие черты	2	2
144	о том	5	2
145	как он	4	2
146	и это	2	2
147	так сказать	4	2
148	с ним	5	2
149	к которому	2	2
