N	2gram	Bakhtin_sl_2	Mirosoze
1	и в	39	46
2	в нем	19	22
3	у него	3	22
4	может быть	37	21
5	в этом	16	20
6	никогда не	7	18
7	для него	7	18
8	и не	22	18
9	не только	24	18
10	но и	21	15
11	не может	20	15
12	человека в	5	14
13	как и	6	13
14	а не	14	13
15	прежде всего	8	12
16	не было	2	11
17	в ней	3	11
18	но он	2	11
19	но в	6	10
20	он не	2	10
21	в себе	2	10
22	не в	9	9
23	не знает	2	9
24	но это	3	8
25	как бы	7	8
26	в своем	6	8
27	так как	4	8
28	отношение к	4	8
29	она не	6	8
30	человека и	3	7
31	в нашем	2	7
32	что он	2	7
33	и к	6	7
34	и потому	7	7
35	как в	13	7
36	хотя бы	3	7
37	и для	5	7
38	и здесь	2	6
39	и там	3	6
40	во власти	2	6
41	жизни и	6	6
42	него нет	3	5
43	то же	4	5
44	бы и	3	5
45	в отношении	4	5
46	один из	5	5
47	те же	2	5
48	это не	5	5
49	и все	5	5
50	во всем	4	5
51	то что	2	5
52	для того	2	5
53	и его	33	5
54	в его	7	5
55	что в	3	4
56	для этого	4	4
57	все что	2	4
58	до конца	17	4
59	только и	2	4
60	они не	2	4
61	также и	2	4
62	с его	7	4
63	в свою	3	4
64	том что	5	4
65	должен быть	2	4
66	что и	3	4
67	себя в	8	4
68	так и	15	4
69	уже не	5	4
70	того чтобы	2	4
71	человек в	6	3
72	себя и	4	3
73	и от	3	3
74	ни в	4	3
75	в том	5	3
76	и нет	2	3
77	менее всего	2	3
78	жизни в	2	3
79	и на	4	3
80	людей и	2	3
81	сказать что	3	3
82	и с	9	3
83	о том	2	3
84	его в	4	3
85	как он	2	3
86	с ним	7	3
87	в них	6	3
88	с которым	2	3
89	это и	2	3
90	связано с	3	3
91	до сих	2	3
92	на почве	4	3
93	сих пор	2	3
94	того как	2	3
95	той же	3	3
96	только в	5	3
97	отношении к	4	3
98	только с	2	3
99	в чем	3	3
100	а лишь	2	2
101	уже в	2	2
102	не был	2	2
103	в этих	7	2
104	и мир	4	2
105	не всегда	2	2
106	или иной	5	2
107	но эта	2	2
108	со своим	9	2
109	на его	2	2
110	хотя и	2	2
111	же и	2	2
112	в сфере	2	2
113	к нему	3	2
114	но она	2	2
115	по отношению	4	2
116	как к	3	2
117	отношения к	4	2
118	чем не	2	2
119	и других	4	2
120	лишь в	3	2
121	в новых	2	2
122	его не	4	2
123	а в	4	2
124	в более	2	2
125	в основе	4	2
126	точки зрения	8	2
127	человек и	14	2
128	между тем	3	2
129	на этом	3	2
130	тогда когда	2	2
131	по себе	5	2
132	связи с	3	2
133	чем в	2	2
134	мы увидим	2	2
135	в сущности	6	2
136	во всех	12	2
137	к ней	2	2
138	оно не	8	2
139	с таким	2	2
140	отношению к	4	2
141	вместе с	2	2
142	быть и	3	2
143	еще более	2	2
144	к своему	9	2
145	которые в	2	2
