N	2gram	Medvedev_S_1	Myshleni
1	то что	2	26
2	в этом	5	25
3	таким образом	2	19
4	в том	5	18
5	что в	2	16
6	и в	3	16
7	не только	3	16
8	том что	2	15
9	отношению к	2	12
10	по отношению	2	12
11	и что	2	12
12	в его	3	11
13	было бы	2	10
14	только в	2	10
15	может быть	2	9
16	то же	2	8
17	не в	3	6
18	но и	2	6
19	должна быть	2	5
20	как бы	2	5
21	в результате	2	4
22	к которому	2	4
23	тем более	2	4
24	еще не	2	4
25	за пределы	2	4
26	в частности	2	3
27	в смысле	2	3
28	по существу	2	3
29	это и	2	3
30	очевидно что	2	2
31	все это	7	2
32	как будто	2	2
