N	2gram	Nazirov_Vr_1	VelikijI
1	и не	5	20
2	и в	8	16
3	то что	7	9
4	еще не	2	8
5	в истории	4	8
6	в мире	2	5
7	как бы	4	5
8	но и	7	5
9	все это	4	5
10	что есть	3	5
11	что он	4	4
12	в нем	6	4
13	как и	6	4
14	в котором	6	4
15	в этом	8	4
16	в ней	4	4
17	и все	7	4
18	в его	3	4
19	с его	3	3
20	что в	7	3
21	в них	2	3
22	в конце	3	3
23	в том	3	3
24	но это	2	3
25	что я	2	3
26	никогда не	2	3
27	в своей	2	3
28	не было	5	3
29	и что	8	3
30	их в	2	3
31	в чем	3	3
32	но в	6	3
33	его и	2	2
34	давно уже	3	2
35	это не	4	2
36	для нас	4	2
37	том что	3	2
38	одна из	2	2
39	для него	2	2
40	и во	3	2
41	не только	9	2
42	а с	2	2
43	тем что	3	2
44	уже не	2	2
45	а в	2	2
46	с ним	4	2
47	и то	2	2
48	между тем	5	2
49	и это	2	2
