N	2gram	Tiupa_Narr_1	Dialekti
1	не есть	3	54
2	и не	20	27
3	а не	12	26
4	точки зрения	10	25
5	и в	19	24
6	не только	32	23
7	по себе	5	20
8	не может	10	19
9	ничего не	2	17
10	в таком	2	14
11	то что	11	14
12	с точки	2	14
13	может быть	25	13
14	и даже	3	13
15	что он	6	13
16	что это	3	12
17	не менее	3	11
18	не имеет	2	11
19	тем не	3	10
20	отнюдь не	5	10
21	таком случае	2	10
22	не существует	3	10
23	в сущности	3	10
24	ни в	3	9
25	но и	23	9
26	прежде всего	4	8
27	и как	5	8
28	отличается от	4	8
29	что мы	2	8
30	том что	14	8
31	в этом	17	8
32	что в	3	7
33	никогда не	3	7
34	в особенности	4	7
35	это и	3	7
36	как и	7	7
37	как раз	2	7
38	иное как	2	6
39	должна быть	2	6
40	и только	2	6
41	и с	4	6
42	что иное	2	6
43	о том	6	6
44	и все	2	6
45	утверждать что	2	6
46	не что	2	6
47	оно не	2	6
48	даже не	3	6
49	не на	2	6
50	то же	4	6
51	самом деле	2	6
52	в том	18	5
53	хотя и	3	5
54	точка зрения	6	5
55	жизни и	3	5
56	и его	5	5
57	одно из	2	5
58	в то	3	5
59	как это	6	5
60	не отличается	2	5
61	было бы	4	5
62	он не	3	5
63	так и	9	5
64	есть всегда	2	5
65	уже не	5	5
66	что не	4	5
67	только в	4	5
68	с другой	8	4
69	это не	2	4
70	или иной	5	4
71	к тому	7	4
72	хотя бы	4	4
73	так же	2	4
74	сказать что	4	4
75	нет и	2	4
76	на первый	2	4
77	субъекта и	2	4
78	говорить о	2	4
79	истории и	2	4
80	о нем	4	4
81	говорит о	2	4
82	при всем	2	4
83	тому как	2	4
84	подобно тому	2	4
85	для него	2	4
86	что нет	2	4
87	перед нами	4	3
88	быть может	2	3
89	не было	2	3
90	все же	7	3
91	в своем	2	3
92	что именно	2	3
93	его как	2	3
94	не в	14	3
95	есть в	2	3
96	она не	2	3
97	же время	4	3
98	одной стороны	7	3
99	в основе	5	3
100	из двух	3	3
101	тем более	2	3
102	в нем	4	3
103	из них	3	3
104	с одной	7	3
105	все эти	2	3
106	того или	2	3
107	и на	3	3
108	тем что	3	3
109	мира и	2	3
110	на себя	3	3
111	в силу	4	3
112	только о	2	3
113	одна из	3	3
114	сами по	2	3
115	не будет	3	3
116	как бы	4	3
117	если не	4	3
118	тем самым	6	3
119	из которых	4	3
120	к нему	5	3
121	и ее	2	3
122	а если	2	3
123	зависит от	2	2
124	же как	3	2
125	в частности	14	2
126	что у	2	2
127	из этих	3	2
128	точно так	2	2
129	этой точки	2	2
130	тому же	5	2
131	и никакой	2	2
132	еще не	7	2
133	при этом	9	2
134	несмотря на	2	2
135	например в	2	2
136	не о	3	2
137	той или	4	2
138	себя и	2	2
139	совершенно не	2	2
140	так или	2	2
141	и тем	4	2
142	а именно	3	2
143	другой стороны	4	2
144	именно в	6	2
145	они не	2	2
146	а в	11	2
147	о ней	3	2
148	в ней	3	2
149	в первом	3	2
150	бы быть	3	2
151	и потому	2	2
152	когда мы	2	2
153	но в	6	2
154	с его	6	2
155	у него	4	2
156	нового времени	2	2
157	личности в	2	2
158	или иного	2	2
159	же в	4	2
160	но как	2	2
161	по существу	2	2
162	то в	6	2
163	но не	5	2
164	и когда	2	2
165	со стороны	9	2
166	себя в	5	2
167	бытия в	3	2
168	но о	3	2
169	как мы	3	2
170	и он	3	2
171	и для	2	2
172	или в	2	2
173	или иначе	3	2
174	в данном	5	2
175	бы то	3	2
176	могут быть	3	2
177	в себе	8	2
178	в его	9	2
179	более не	2	2
