N	2gram	Vinokur_St_3	Sovremen
1	не может	7	17
2	точки зрения	7	12
3	может быть	19	12
4	таким образом	10	11
5	мы не	2	9
6	в каждом	4	8
7	в этом	24	7
8	и в	25	7
9	каждый раз	2	6
10	и не	10	6
11	как и	4	6
12	в результате	2	6
13	ничего не	4	6
14	прежде всего	10	5
15	все эти	3	5
16	и наконец	3	5
17	с точки	4	5
18	как бы	6	4
19	нет и	2	4
20	в развитии	2	4
21	в целом	4	4
22	вместе с	2	4
23	это не	7	4
24	а в	6	4
25	не только	12	4
26	в том	20	4
27	точку зрения	2	4
28	так как	3	4
29	в системе	3	3
30	уже в	3	3
31	самого начала	2	3
32	все же	4	3
33	он может	2	3
34	все это	8	3
35	отличается от	4	3
36	в конце	6	3
37	то же	5	3
38	а не	5	3
39	и к	4	3
40	у нас	4	3
41	с самого	2	3
42	не в	6	3
43	в этой	14	3
44	одна из	2	3
45	еще не	2	3
46	было бы	7	3
47	в области	6	3
48	но в	5	3
49	так сказать	2	2
50	этих двух	2	2
51	что это	16	2
52	не менее	2	2
53	в виде	3	2
54	для его	2	2
55	в некоторых	3	2
56	у него	9	2
57	можно назвать	4	2
58	на котором	2	2
59	то и	2	2
60	и во	2	2
61	из этих	6	2
62	что все	3	2
63	с одной	2	2
64	каждая из	3	2
65	как мы	2	2
66	уже не	3	2
67	в свою	2	2
68	или иной	2	2
69	самом деле	2	2
70	и что	3	2
71	и пр	13	2
72	из которых	4	2
73	что такое	7	2
74	и по	2	2
75	тем не	2	2
76	той же	2	2
77	мы видим	4	2
78	но все	2	2
79	такой же	2	2
80	во всяком	4	2
81	на этом	3	2
82	времени и	2	2
83	могут быть	2	2
84	с этим	7	2
85	что в	19	2
86	говорить о	3	2
87	это за	2	2
88	на его	4	2
89	такого рода	5	2
90	по мнению	3	2
91	в самом	2	2
92	в которой	4	2
93	в его	12	2
94	всяком случае	4	2
