N	2gram	Tiupa_Hudo_1	Poddanst
1	не только	16	17
2	и в	19	14
3	и не	15	12
4	в области	6	11
5	в отношении	3	10
6	в этом	11	10
7	то же	10	9
8	в том	18	9
9	в качестве	24	9
10	но в	7	9
11	в пределах	3	8
12	же время	5	7
13	в то	6	7
14	только в	5	7
15	но и	10	6
16	с другой	7	5
17	не в	7	5
18	отношении к	2	5
19	и о	3	5
20	может быть	14	5
21	то что	4	4
22	что в	6	4
23	если бы	3	4
24	в своем	2	4
25	не может	7	4
26	по себе	2	4
27	и к	3	4
28	а в	12	4
29	том что	8	4
30	в русской	3	4
31	а также	5	4
32	как бы	9	4
33	и потому	2	4
34	в порядке	2	3
35	в нем	5	3
36	это не	2	3
37	с одной	2	3
38	прежде всего	4	3
39	заключается в	2	3
40	тем самым	4	3
41	для того	2	3
42	с точки	3	3
43	сводится к	7	3
44	и как	3	3
45	между тем	4	3
46	но не	11	3
47	могут быть	4	3
48	точки зрения	10	3
49	в себе	9	3
50	одной стороны	2	3
51	потому что	3	3
52	хотя и	3	3
53	я и	7	3
54	не менее	3	2
55	том числе	2	2
56	и тем	2	2
57	в мире	21	2
58	именно в	2	2
59	во всех	3	2
60	хх века	2	2
61	в частности	13	2
62	отнюдь не	2	2
63	со стороны	2	2
64	в них	2	2
65	все это	2	2
66	во всей	3	2
67	как раз	3	2
68	не столько	3	2
69	и весьма	2	2
70	отношения к	2	2
71	в жизни	2	2
72	а не	9	2
73	того что	4	2
74	в ее	5	2
75	говорить о	3	2
76	есть в	2	2
77	одна из	2	2
78	например в	3	2
79	и это	2	2
80	культуры в	2	2
81	в его	9	2
