N	2gram	Losev_Vlad_1	Freidism
1	таким образом	3	24
2	и не	17	23
3	не может	6	20
4	точки зрения	2	19
5	в этом	14	15
6	в его	12	15
7	может быть	6	13
8	и его	7	12
9	как и	4	11
10	то что	18	11
11	все эти	3	11
12	и потому	6	10
13	так и	6	10
14	как мы	9	10
15	с ним	5	10
16	но в	12	10
17	с его	11	9
18	и в	31	9
19	все что	2	8
20	что он	12	8
21	еще не	2	8
22	в своей	4	8
23	он не	10	8
24	не только	24	8
25	все это	5	8
26	то же	6	8
27	только в	9	8
28	и все	4	8
29	так как	8	8
30	мы знаем	2	7
31	ни в	2	7
32	тот же	3	7
33	к нему	4	7
34	во всяком	2	7
35	один из	4	7
36	отношение к	3	7
37	в самом	2	7
38	что же	5	7
39	сказать что	7	7
40	мы уже	7	7
41	всяком случае	2	7
42	никогда не	9	6
43	вовсе не	5	6
44	для него	7	6
45	за пределы	3	6
46	того что	2	6
47	совершенно не	2	6
48	хотя бы	2	6
49	и с	14	6
50	и к	6	5
51	он сам	2	5
52	знаем что	2	5
53	но мы	2	5
54	в период	5	5
55	можно сказать	6	5
56	не в	5	5
57	в этой	4	5
58	в чем	2	5
59	в то	8	5
60	что такое	2	5
61	его жизни	6	5
62	что в	14	5
63	но и	19	5
64	для того	2	5
65	а в	9	5
66	и на	3	5
67	в каком	2	5
68	мы должны	2	5
69	не менее	2	4
70	но не	3	4
71	я не	4	4
72	в котором	6	4
73	из этих	2	4
74	в жизни	3	4
75	к тому	3	4
76	об этом	7	4
77	же время	4	4
78	которой мы	2	4
79	на этом	2	4
80	при этом	2	4
81	конечно не	2	4
82	и о	2	4
83	как раз	7	4
84	в нем	4	4
85	все же	3	4
86	и за	2	4
87	на основании	2	4
88	не было	5	4
89	уже не	3	4
90	того чтобы	2	4
91	и для	2	4
92	совсем не	4	4
93	в которой	4	4
94	той же	2	4
95	с ними	2	4
96	потому что	11	4
97	во время	3	4
98	всей жизни	3	4
99	нисколько не	2	3
100	о которой	3	3
101	главным образом	4	3
102	в них	2	3
103	и от	5	3
104	на себя	3	3
105	к себе	2	3
106	что все	2	3
107	в себе	4	3
108	он был	14	3
109	и как	4	3
110	но это	3	3
111	учение о	2	3
112	по своему	3	3
113	по поводу	12	3
114	было бы	2	3
115	и тот	2	3
116	один и	2	3
117	в общем	3	3
118	себя в	4	3
119	жизни и	5	3
120	когда он	5	3
121	на него	3	3
122	вместе с	3	3
123	со стороны	2	3
124	как в	3	3
125	мысли и	4	3
126	чем не	2	3
127	и вот	3	3
128	этой области	2	3
129	и что	6	3
130	на этот	6	3
131	и по	8	3
132	у него	15	3
133	отца и	3	3
134	в отношении	3	2
135	уже в	7	2
136	по учению	2	2
137	в нашем	4	2
138	всей его	2	2
139	и ни	2	2
140	для себя	2	2
141	того же	6	2
142	с другой	3	2
143	в конце	9	2
144	и теперь	4	2
145	к этому	6	2
146	тем не	2	2
147	для нас	4	2
148	да и	4	2
149	это и	2	2
150	том что	14	2
151	всю жизнь	3	2
152	что с	2	2
153	с этими	3	2
154	из них	2	2
155	которой он	5	2
156	чувства к	3	2
157	же касается	4	2
158	на всю	2	2
159	что мы	2	2
160	конце концов	3	2
161	о нем	7	2
162	в своем	4	2
163	в этот	4	2
164	для нее	2	2
165	в я	4	2
166	и до	2	2
167	ответ на	2	2
168	в свой	2	2
169	дело не	2	2
170	что она	2	2
171	только на	3	2
172	в возрасте	2	2
173	в нас	4	2
174	для своего	2	2
175	а с	5	2
176	человека как	3	2
177	и у	4	2
178	в науке	3	2
179	и даже	15	2
180	и притом	3	2
181	как на	2	2
182	воли и	2	2
183	не без	6	2
184	значение для	2	2
185	и то	10	2
186	в своих	5	2
187	что и	5	2
188	к его	3	2
189	но как	5	2
190	и вообще	4	2
191	тех же	2	2
192	как это	7	2
193	же с	11	2
194	в момент	2	2
195	это было	6	2
