N	2gram	Medvedev_F_2	Psycholo
1	и в	38	38
2	то что	6	35
3	все время	6	30
4	в том	11	25
5	в самом	16	25
6	самом деле	8	21
7	что в	7	20
8	может быть	23	19
9	точки зрения	8	16
10	в ней	6	15
11	если бы	5	14
12	том что	2	14
13	как бы	4	14
14	и т	14	14
15	потому что	2	14
16	в этой	6	13
17	в этом	27	13
18	было бы	6	12
19	не только	9	12
20	таким образом	20	12
21	не в	15	12
22	что он	5	11
23	что это	3	10
24	в сущности	4	10
25	то же	6	10
26	и не	20	10
27	и все	3	10
28	с точки	7	9
29	того чтобы	3	9
30	все же	8	8
31	с тем	11	8
32	перед нами	2	8
33	с этим	5	8
34	вовсе не	11	8
35	как и	9	8
36	и как	3	8
37	как раз	6	8
38	из этого	2	8
39	для того	3	8
40	и то	2	8
41	и это	2	8
42	с другой	3	7
43	в ее	2	7
44	а не	6	7
45	не может	14	7
46	как мы	7	7
47	а в	6	7
48	между тем	2	7
49	из них	4	6
50	и здесь	3	6
51	к тому	4	6
52	мы видели	4	6
53	с самого	2	6
54	она не	2	6
55	бы совершенно	2	6
56	один из	2	6
57	в котором	2	6
58	не имеет	2	6
59	тому что	2	6
60	он не	6	6
61	так как	4	6
62	если мы	5	6
63	как это	2	6
64	и его	21	6
65	и на	3	6
66	самого начала	2	6
67	там где	4	6
68	должна быть	5	5
69	в какой	3	5
70	на этом	2	5
71	совершенно не	4	5
72	в поэтической	4	5
73	в своей	7	5
74	вместе с	6	5
75	но и	13	5
76	другой стороны	4	5
77	т п	9	5
78	в той	2	5
79	или в	3	5
80	мы не	3	5
81	в его	10	5
82	так сказать	3	5
83	в которой	2	5
84	никогда не	2	4
85	что эта	2	4
86	идет о	2	4
87	в тех	2	4
88	из него	2	4
89	что они	4	4
90	при этом	9	4
91	и для	5	4
92	во всех	5	4
93	не могли	2	4
94	в нем	13	4
95	что и	8	4
96	ее в	2	4
97	в целом	3	4
98	как в	4	4
99	смысл и	2	4
100	т д	5	4
101	все эти	6	4
102	при помощи	2	4
103	того что	3	4
104	и даже	4	4
105	сказать что	2	4
106	до крайности	2	4
107	и совершенно	2	4
108	только в	6	4
109	и другое	2	4
110	не то	3	4
111	в виду	2	4
112	место в	3	3
113	та же	2	3
114	из этих	3	3
115	главным образом	3	3
116	к этому	4	3
117	в такой	2	3
118	и к	4	3
119	ни в	2	3
120	он был	2	3
121	но это	2	3
122	совсем не	2	3
123	с теми	2	3
124	и о	2	3
125	в основе	5	3
126	не к	2	3
127	все это	3	3
128	то и	3	3
129	и только	5	3
130	что не	4	3
131	не так	2	3
132	в таком	2	3
133	и тем	2	3
134	тем что	8	3
135	состоит в	2	3
136	в то	5	3
137	бы в	5	3
138	его в	3	3
139	здесь не	4	3
140	едва ли	2	3
141	в плане	2	3
142	но в	4	3
143	в общем	5	2
144	одного из	3	2
145	не могут	7	2
146	всех этих	3	2
147	и более	2	2
148	и другие	2	2
149	была бы	3	2
150	все более	2	2
151	в этих	2	2
152	отнюдь не	8	2
153	следует что	3	2
154	хотя бы	6	2
155	столь же	2	2
156	на самом	3	2
157	во всяком	5	2
158	что оно	4	2
159	что именно	2	2
160	и ее	6	2
161	поэзии в	3	2
162	бы она	3	2
163	до конца	2	2
164	уже не	7	2
165	по существу	7	2
166	без всякой	3	2
167	такой же	3	2
168	из всего	3	2
169	очевидно что	2	2
170	для него	7	2
171	и может	3	2
172	со своей	2	2
173	они не	4	2
174	мы в	2	2
175	например в	3	2
176	должен был	2	2
177	по преимуществу	5	2
178	совпадает с	2	2
179	всяком случае	5	2
180	для этого	2	2
181	этих авторов	2	2
182	то это	3	2
183	со стороны	2	2
184	что же	5	2
185	всего этого	5	2
186	в одной	2	2
187	по аналогии	2	2
188	том смысле	3	2
189	должны были	2	2
190	не просто	2	2
191	материалом для	3	2
192	и наконец	4	2
193	какой мере	2	2
194	и по	2	2
195	есть только	2	2
196	в качестве	2	2
197	здесь с	2	2
198	в конце	2	2
199	их в	2	2
200	он в	2	2
201	говорит он	5	2
202	к его	2	2
203	как к	3	2
204	но как	2	2
205	в истории	6	2
206	одним словом	4	2
207	однако и	3	2
208	этими двумя	2	2
209	к поэтической	3	2
210	с ним	2	2
211	ничего не	4	2
