N	2gram	Tiupa_Anal_2	Narrotol
1	не только	16	32
2	может быть	6	25
3	но и	12	23
4	в качестве	11	21
5	и не	12	20
6	и в	16	19
7	то есть	9	19
8	в том	12	18
9	в этом	18	17
10	в тексте	24	16
11	в частности	16	14
12	том что	12	14
13	не в	4	14
14	состоит в	8	13
15	в рамках	3	12
16	а не	10	12
17	своего рода	12	12
18	тогда как	19	12
19	коммуникативного события	4	12
20	представляет собой	8	12
21	то что	7	11
22	а в	3	11
23	не может	4	10
24	точки зрения	4	10
25	при этом	10	9
26	со стороны	3	9
27	так и	15	9
28	в его	2	9
29	в мире	6	9
30	с другой	6	8
31	во времени	2	8
32	и т.п	8	8
33	в себе	7	8
34	и т.д	3	7
35	в случае	2	7
36	как и	14	7
37	еще не	2	7
38	к тому	7	7
39	такого рода	2	7
40	а также	7	7
41	как в	4	7
42	по отношению	4	7
43	с одной	5	7
44	одной стороны	4	7
45	отношению к	4	6
46	но не	4	6
47	именно в	3	6
48	в себя	4	6
49	высказывания в	3	6
50	тем самым	4	6
51	как это	6	6
52	иначе говоря	11	6
53	на протяжении	2	6
54	о том	7	6
55	но в	6	6
56	отнюдь не	8	5
57	по себе	2	5
58	или иной	3	5
59	можно сказать	4	5
60	тому же	4	5
61	себя в	2	5
62	картины мира	2	5
63	уже не	4	5
64	и его	4	5
65	в данном	8	5
66	между двумя	4	5
67	в отличие	2	5
68	отличие от	2	5
69	в этой	9	5
70	прежде всего	3	4
71	одного из	3	4
72	у него	4	4
73	то же	4	4
74	жизненной позиции	3	4
75	при всей	3	4
76	же время	2	4
77	было бы	3	4
78	вслед за	2	4
79	имеет место	4	4
80	одной из	3	4
81	той или	3	4
82	как бы	10	4
83	речь идет	2	4
84	и тем	4	4
85	данном случае	5	4
86	внутреннего зрения	12	4
87	другой стороны	2	4
88	или напротив	2	4
89	те же	2	4
90	не мог	3	4
91	не столько	3	4
92	сказать что	2	4
93	только в	4	4
94	как правило	4	4
95	же не	2	4
96	не менее	4	3
97	еще одна	2	3
98	текста на	2	3
99	что в	2	3
100	могут быть	10	3
101	никогда не	3	3
102	тем не	3	3
103	обращает на	3	3
104	в сущности	4	3
105	хотя и	4	3
106	он не	2	3
107	и даже	9	3
108	один из	2	3
109	не с	4	3
110	не есть	2	3
111	с ее	2	3
112	себя внимание	3	3
113	как говорит	2	3
114	из них	3	3
115	на него	2	3
116	в эпизоде	10	3
117	особенно в	7	3
118	этом отношении	3	3
119	как мы	3	3
120	сводится к	3	3
121	столь же	4	3
122	и он	2	3
123	высказывания и	2	3
124	и на	6	3
125	между тем	2	3
126	тем что	3	3
127	не о	2	3
128	на себя	5	3
129	в конечном	3	3
130	в то	2	3
131	как будто	3	3
132	в произведении	2	3
133	присутствия в	2	3
134	художественного высказывания	2	2
135	очевидным образом	2	2
136	конечном счете	2	2
137	в своем	4	2
138	себе не	2	2
139	в противоположность	2	2
140	текста в	6	2
141	или даже	2	2
142	или иного	3	2
143	что на	3	2
144	ему в	3	2
145	его как	2	2
146	по выражению	2	2
147	говорит о	5	2
148	по существу	2	2
149	есть в	3	2
150	том или	2	2
151	о своей	2	2
152	в значительной	2	2
153	имеем дело	3	2
154	имеют место	2	2
155	для него	4	2
156	языка и	2	2
157	в пределах	9	2
158	она не	2	2
159	читателя в	4	2
160	в аспекте	4	2
161	несмотря на	3	2
162	значительной степени	2	2
163	некоторого рода	2	2
164	в обоих	2	2
165	в роли	2	2
166	даже в	2	2
167	не имеет	2	2
168	во второй	4	2
169	и до	2	2
170	жизнью и	2	2
171	приводит к	3	2
172	один голос	2	2
173	так же	2	2
174	как раз	4	2
175	отношения к	2	2
176	в двух	2	2
177	ключ к	3	2
178	организации текста	3	2
179	того или	3	2
180	времени в	4	2
181	и для	2	2
182	с точки	2	2
183	главного героя	3	2
184	роль в	2	2
185	в таком	2	2
186	или в	3	2
187	можно было	3	2
188	тому как	3	2
189	являет собой	3	2
190	не случайно	8	2
191	в результате	3	2
192	одну из	2	2
193	одно из	2	2
194	или ином	2	2
195	подобно тому	3	2
196	что касается	3	2
197	говорить о	6	2
198	со смертью	3	2
199	этого слова	3	2
200	и все	3	2
201	в организации	3	2
202	жизни но	2	2
203	его в	2	2
204	представляют собой	2	2
205	всего лишь	8	2
206	ничего не	9	2
207	мы имеем	3	2
208	текста как	2	2
209	таком случае	2	2
210	о чем	2	2
211	и одновременно	3	2
