N	2gram	Berdyaev_N_1	VrazhdaK
1	не только	5	9
2	в этом	7	8
3	и что	2	8
4	и в	16	8
5	но и	3	7
6	что в	9	7
7	то что	4	7
8	и все	4	7
9	в нем	5	6
10	и даже	2	6
11	как и	7	6
12	но в	2	6
13	и с	2	6
14	не было	4	5
15	и не	11	5
16	у него	2	5
17	в то	2	5
18	в россии	3	5
19	все это	5	4
20	это не	4	4
21	так же	2	4
22	может быть	7	4
23	в истории	3	4
24	о том	4	4
25	в ней	5	4
26	я не	2	3
27	с его	6	3
28	в том	8	3
29	том что	2	3
30	наряду с	3	3
31	он не	8	3
32	и т.п	2	2
33	место в	2	2
34	в своей	3	2
35	и это	2	2
36	не менее	4	2
37	никогда не	6	2
38	вместе с	2	2
39	в них	4	2
40	не может	16	2
41	а в	2	2
42	в одну	2	2
43	но это	6	2
44	уже не	2	2
45	же как	2	2
46	права на	2	2
47	в себе	2	2
48	еще не	3	2
49	в мире	3	2
50	одна из	2	2
51	к ним	3	2
52	нашего времени	2	2
