N	2gram	Tiupa_Disk_1	Literetu
1	и не	11	22
2	тогда как	19	17
3	и в	16	16
4	х годов	2	15
5	при этом	13	15
6	не только	28	14
7	но и	14	14
8	в этом	15	14
9	а не	22	12
10	то что	5	12
11	может быть	17	12
12	в том	23	12
13	в частности	9	11
14	не в	7	10
15	такого рода	4	10
16	своего рода	8	10
17	то же	7	9
18	так и	8	9
19	е годы	2	9
20	того что	3	9
21	в то	3	9
22	том что	19	8
23	в е	2	8
24	не может	9	8
25	к себе	2	8
26	в этой	2	8
27	как бы	5	8
28	эстетического субъекта	2	7
29	в своей	5	7
30	же время	4	7
31	себя в	2	7
32	со стороны	7	7
33	точки зрения	3	7
34	только в	7	7
35	по мысли	3	6
36	с его	4	6
37	состоит в	9	6
38	с другой	10	6
39	к тому	5	6
40	еще не	14	6
41	в его	7	6
42	и т.п	12	6
43	и его	2	6
44	в себе	7	6
45	в другом	2	6
46	о том	8	6
47	в качестве	34	5
48	это не	3	5
49	в году	2	5
50	что он	4	5
51	в ее	3	5
52	тому же	5	5
53	как и	16	5
54	соответствии с	2	5
55	лишь в	4	5
56	особого рода	2	5
57	в целом	4	5
58	как в	10	5
59	в отличие	5	5
60	а в	5	5
61	именно в	3	5
62	коммуникативного события	14	5
63	в основе	7	5
64	то есть	20	5
65	отличие от	5	5
66	но не	11	4
67	в рамках	5	4
68	никогда не	2	4
69	однако в	3	4
70	одной стороны	9	4
71	в начале	2	4
72	одним из	2	4
73	хотя и	2	4
74	говоря уже	2	4
75	отношению к	9	4
76	из них	3	4
77	не говоря	2	4
78	коммуникативное событие	5	4
79	данном случае	2	4
80	в тексте	2	4
81	по отношению	9	4
82	жизни в	2	4
83	с одной	9	4
84	а также	8	4
85	в данном	5	4
86	в одном	2	4
87	ни к	6	3
88	том числе	2	3
89	отнюдь не	8	3
90	прежде всего	11	3
91	более того	2	3
92	в г	2	3
93	в соответствии	2	3
94	и как	6	3
95	о чем	2	3
96	мира в	3	3
97	например в	2	3
98	и к	4	3
99	на его	4	3
100	в самом	3	3
101	в сторону	4	3
102	еще в	3	3
103	и тем	2	3
104	с ее	2	3
105	уже не	4	3
106	по рассуждению	4	3
107	на смену	3	3
108	начале х	2	3
109	тому как	3	3
110	потому что	4	3
111	по своей	11	3
112	уже о	2	3
113	едва ли	2	3
114	отношения к	2	3
115	но в	8	3
116	между тем	4	3
117	в противоположность	2	2
118	то она	2	2
119	что в	4	2
120	не менее	2	2
121	и одновременно	2	2
122	литературной традиции	3	2
123	а.н веселовского	2	2
124	оно не	2	2
125	не как	4	2
126	для своего	2	2
127	сказать и	2	2
128	одного из	2	2
129	к этому	2	2
130	не всегда	2	2
131	вследствие этого	3	2
132	по себе	3	2
133	стороны и	2	2
134	или иной	5	2
135	в нем	9	2
136	и ее	2	2
137	но одновременно	2	2
138	а по	2	2
139	связи с	4	2
140	в ситуации	3	2
141	и адресата	2	2
142	числе и	2	2
143	того же	3	2
144	во втором	4	2
145	эстетической деятельности	3	2
146	в свою	3	2
147	для него	4	2
148	можно сказать	5	2
149	что не	4	2
150	во всех	5	2
151	том чтобы	2	2
152	текста и	2	2
153	той или	3	2
154	о нем	2	2
155	для себя	4	2
156	один из	3	2
157	не с	3	2
158	что и	3	2
159	все же	3	2
160	отношение к	4	2
161	когда он	2	2
162	человеческого присутствия	2	2
163	как мы	2	2
164	внимание на	4	2
165	за его	2	2
166	по этой	2	2
167	человека в	2	2
168	в принципе	2	2
169	другой стороны	3	2
170	и даже	3	2
171	в своих	3	2
172	и на	5	2
173	тем что	3	2
174	следует признать	2	2
175	подобно тому	2	2
176	далеко не	10	2
177	на себя	2	2
178	представляет собой	17	2
179	же самое	2	2
180	в первом	3	2
181	и потому	3	2
182	в каждой	3	2
