N	2gram	Propp_Russ_1	Problemy
1	и в	36	43
2	и не	6	29
3	т е	17	26
4	может быть	8	23
5	как бы	5	22
6	не может	4	18
7	но и	16	14
8	как и	10	14
9	и т	10	13
10	точки зрения	3	13
11	в этом	12	13
12	слова в	3	12
13	в нем	2	12
14	в одном	3	12
15	в каждом	2	11
16	не только	22	11
17	и на	10	10
18	но в	2	10
19	в его	2	10
20	как мы	10	10
21	в большинстве	2	9
22	еще не	4	9
23	большинстве случаев	2	8
24	то же	3	8
25	с точки	3	8
26	или в	2	8
27	то что	6	7
28	а не	2	7
29	в этих	3	6
30	в том	17	6
31	при этом	6	6
32	у него	2	6
33	приводит к	3	6
34	так что	2	5
35	хотя и	2	5
36	все это	6	5
37	таким образом	6	5
38	все эти	2	5
39	а в	9	5
40	и с	2	5
41	к другому	2	5
42	о том	8	5
43	но не	2	5
44	мы увидим	8	5
45	и что	4	5
46	что в	19	4
47	в своем	3	4
48	к тому	4	4
49	до конца	2	4
50	но это	4	4
51	т д	9	4
52	их в	3	4
53	во время	14	4
54	так как	15	4
55	то есть	3	4
56	с собой	4	4
57	в них	6	4
58	том же	2	4
59	и до	2	4
60	во всех	4	4
61	но эти	3	4
62	не на	2	4
63	там где	2	4
64	на этот	3	4
65	мы не	6	4
66	этот вопрос	2	4
67	только в	4	4
68	далеко не	3	4
69	же не	2	4
70	не менее	3	3
71	себя и	2	3
72	это не	10	3
73	он был	2	3
74	такой же	2	3
75	и их	4	3
76	в их	4	3
77	и здесь	2	3
78	с ним	2	3
79	между тем	7	3
80	в жизни	2	3
81	чем у	2	3
82	в различных	2	3
83	и к	3	3
84	по существу	4	3
85	она не	2	3
86	когда он	2	3
87	что и	7	3
88	все же	5	3
89	так и	7	3
90	только на	3	3
91	уже не	6	3
92	и для	2	3
93	ничего не	3	3
94	тем что	4	3
95	в виде	6	3
96	могут быть	2	3
97	его и	2	2
98	что у	2	2
99	та же	2	2
100	из этих	4	2
101	в образе	2	2
102	его к	2	2
103	от них	3	2
104	что на	4	2
105	тем не	3	2
106	для нас	6	2
107	и как	2	2
108	но все	3	2
109	что это	3	2
110	например в	2	2
111	в настоящее	3	2
112	и др	4	2
113	в целом	2	2
114	для этого	2	2
115	того что	4	2
116	мы наблюдаем	2	2
117	так же	3	2
118	с ними	5	2
119	в своих	2	2
120	в которых	5	2
121	он так	2	2
122	настоящее время	3	2
123	из них	8	2
124	как он	2	2
125	друг к	2	2
126	между собой	2	2
127	с этим	2	2
128	об этом	9	2
129	у нас	8	2
130	одна из	4	2
131	на себя	2	2
132	этого слова	3	2
133	и пр	2	2
134	к другу	2	2
135	быть и	2	2
136	как в	5	2
137	для наших	2	2
138	входит в	4	2
139	а с	4	2
140	том что	19	2
141	что этот	4	2
142	мы можем	2	2
143	того как	5	2
