N	2gram	Vygotskiy__6	Dialekti
1	и не	11	30
2	по себе	3	25
3	и в	28	18
4	может быть	13	17
5	точки зрения	13	17
6	в нем	7	16
7	так что	6	15
8	не имеет	6	15
9	а не	3	14
10	потому что	22	14
11	что в	17	13
12	то что	28	13
13	не только	16	13
14	если бы	7	12
15	было бы	9	12
16	и что	6	12
17	с точки	10	12
18	в этом	27	12
19	не может	19	12
20	что он	18	11
21	как бы	11	11
22	все это	2	11
23	в себе	4	11
24	так как	10	11
25	прежде всего	2	10
26	несмотря на	2	10
27	то же	7	10
28	что такое	3	10
29	сказать что	13	10
30	никогда не	8	9
31	это не	5	9
32	в том	28	9
33	это есть	3	9
34	так и	6	9
35	том что	19	9
36	и то	4	9
37	ясно что	4	8
38	но это	2	8
39	и как	6	7
40	то в	5	7
41	но и	10	7
42	с другой	2	6
43	можно сказать	6	6
44	она не	2	6
45	не в	4	6
46	в то	6	6
47	в чем	6	6
48	с ним	2	6
49	но в	5	6
50	я не	4	5
51	он сам	2	5
52	в этих	2	5
53	в своем	7	5
54	на то	4	5
55	но если	4	5
56	не с	2	5
57	все же	2	5
58	отношение к	7	5
59	в отношении	10	5
60	что оно	7	5
61	а в	2	5
62	можно было	7	5
63	мы должны	3	5
64	и более	2	4
65	в конце	2	4
66	к тому	10	4
67	что эта	2	4
68	это мы	3	4
69	это и	3	4
70	мы видим	7	4
71	но не	10	4
72	от него	2	4
73	хотя и	3	4
74	в котором	2	4
75	только то	3	4
76	так же	15	4
77	другой стороны	2	4
78	как раз	6	4
79	мы говорим	2	4
80	как мы	10	4
81	мы можем	9	4
82	и вообще	2	4
83	как это	3	4
84	тому что	11	3
85	в них	3	3
86	точку зрения	2	3
87	этом смысле	2	3
88	что и	4	3
89	а только	2	3
90	что я	2	3
91	что они	2	3
92	но что	4	3
93	отношении к	3	3
94	он не	7	3
95	в его	3	3
96	один из	3	3
97	друг другу	2	3
98	но только	2	3
99	отношения к	3	3
100	мысли и	2	3
101	в их	3	3
102	только на	2	3
103	в самом	8	3
104	в разных	5	3
105	но с	2	3
106	самом деле	2	3
107	была бы	2	3
108	только что	2	3
109	у них	2	3
110	в данном	2	3
111	в основе	3	3
112	могут быть	5	3
113	нуждается в	3	3
114	только в	18	3
115	и все	5	3
116	бы в	3	3
117	другу как	2	3
118	в сознании	4	3
119	от этого	3	3
120	как только	2	2
121	на этом	4	2
122	не менее	2	2
123	что их	3	2
124	того что	24	2
125	же как	6	2
126	по мере	3	2
127	именно в	4	2
128	в частности	4	2
129	какие же	2	2
130	не знает	3	2
131	были бы	2	2
132	в качестве	4	2
133	сравнению с	14	2
134	как в	3	2
135	с этой	2	2
136	эти последние	2	2
137	и от	2	2
138	из этих	3	2
139	раз и	2	2
140	с другими	2	2
141	в каждом	3	2
142	вопрос о	5	2
143	ничего нового	2	2
144	говорим что	2	2
145	что уже	2	2
146	как и	6	2
147	почему это	2	2
148	мы и	4	2
149	что именно	2	2
150	является не	2	2
151	что если	2	2
152	и другое	2	2
153	чем он	2	2
154	связанные с	3	2
155	для него	6	2
156	до сих	3	2
157	только тогда	4	2
158	еще не	8	2
159	для того	8	2
160	в первую	3	2
161	себе и	2	2
162	по сравнению	15	2
163	и следовательно	4	2
164	и является	2	2
165	друг к	3	2
166	относится к	4	2
167	мог бы	3	2
168	из них	2	2
169	в своей	2	2
170	к другу	4	2
171	с ней	3	2
172	сих пор	3	2
173	для этого	2	2
174	с этим	4	2
175	этом отношении	3	2
176	все эти	2	2
177	мы имеем	4	2
178	можно только	2	2
179	из того	5	2
180	если мы	2	2
181	об одном	2	2
182	отличается от	3	2
183	мысли в	4	2
184	с ними	2	2
185	в которых	2	2
186	но как	3	2
187	в другом	2	2
188	как с	2	2
189	время как	5	2
