N	2gram	Berdyaev_M_1	Myshleni
1	в том	6	33
2	том что	3	27
3	точки зрения	4	26
4	то что	5	20
5	в этом	20	19
6	того что	7	17
7	и в	28	15
8	не только	29	15
9	что в	10	14
10	что он	10	12
11	того чтобы	2	12
12	в самом	11	11
13	но и	25	10
14	было бы	10	10
15	для того	2	10
16	в своем	10	9
17	может быть	30	9
18	не может	28	9
19	о том	2	9
20	никогда не	14	8
21	не в	16	8
22	и что	2	8
23	если бы	2	8
24	к тому	3	7
25	высшей степени	2	7
26	и не	11	7
27	в высшей	2	7
28	потому что	16	7
29	как бы	2	7
30	он не	24	7
31	в этой	6	6
32	в виду	2	6
33	по отношению	2	6
34	сказать что	2	6
35	в истории	2	6
36	как он	2	6
37	но в	7	6
38	и к	2	6
39	как и	5	6
40	по своей	2	6
41	вместе с	6	6
42	на этот	2	6
43	это не	5	5
44	уже в	4	5
45	вопрос о	2	5
46	смысле слова	4	5
47	и их	3	5
48	социальной среды	3	5
49	все что	2	5
50	отношению к	2	5
51	по сравнению	2	5
52	приводит к	2	5
53	связана с	2	4
54	прежде всего	10	4
55	для нас	3	4
56	от его	2	4
57	все это	6	4
58	в них	4	4
59	не имеет	3	4
60	а в	4	4
61	и с	3	4
62	в начале	2	4
63	так как	3	4
64	с его	3	4
65	к этому	2	4
66	все же	2	4
67	мы видим	2	4
68	в своей	15	4
69	как в	2	4
70	хотя бы	3	4
71	и его	9	4
72	только в	6	4
73	в которой	6	4
74	он сам	6	3
75	человека и	14	3
76	для него	11	3
77	и человека	5	3
78	все эти	2	3
79	о мире	2	3
80	в самой	7	3
81	лишь в	6	3
82	с собой	3	3
83	и по	4	3
84	в которых	4	3
85	в основе	2	3
86	к этой	2	3
87	с ним	2	3
88	и все	10	3
89	не существует	2	3
90	с этим	3	3
91	которых он	4	3
92	но не	8	3
93	когда он	3	3
94	бы и	3	3
95	во власти	2	3
96	а не	25	3
97	он в	2	3
98	и это	12	3
99	ничего не	3	3
100	чем в	2	2
101	за собой	2	2
102	быть может	7	2
103	не могут	5	2
104	и есть	14	2
105	в этих	4	2
106	с этой	4	2
107	живет в	2	2
108	и как	2	2
109	это есть	3	2
110	его мысль	2	2
111	человека к	2	2
112	и мы	2	2
113	в ином	2	2
114	в котором	8	2
115	его с	2	2
116	могут быть	2	2
117	на том	3	2
118	в их	4	2
119	должно быть	3	2
120	увидим что	4	2
121	в более	2	2
122	но если	3	2
123	также и	2	2
124	мира и	5	2
125	от этого	2	2
126	с которой	2	2
127	у него	17	2
128	он должен	3	2
129	нет никаких	2	2
130	самому себе	2	2
131	с их	2	2
132	мы увидим	3	2
133	за пределы	4	2
134	к ней	4	2
135	в его	9	2
136	о своих	2	2
137	нет и	5	2
138	должен быть	2	2
139	что и	4	2
140	с ней	2	2
141	и самый	2	2
142	и для	2	2
143	или к	4	2
144	прийти к	2	2
145	к чему	2	2
146	для человека	3	2
147	тому чтобы	2	2
148	тем что	4	2
149	в себе	7	2
150	на протяжении	2	2
