N	2gram	Tiupa_Narr_1	Myslijsy
1	потому что	5	52
2	то есть	9	42
3	и в	11	39
4	может быть	15	27
5	в том	8	26
6	только в	12	25
7	что в	3	22
8	не может	8	22
9	а не	13	21
10	не только	31	21
11	в нем	4	20
12	но и	27	20
13	и не	23	18
14	том что	7	16
15	не в	6	15
16	в этом	12	15
17	если бы	7	14
18	отношению к	3	13
19	так и	5	13
20	по отношению	3	13
21	в себе	6	13
22	мы не	3	10
23	по себе	4	10
24	что не	2	10
25	то что	9	10
26	как в	4	10
27	как и	13	9
28	но в	7	9
29	в одном	4	8
30	но не	4	8
31	вместе с	2	8
32	со стороны	8	8
33	того что	4	8
34	в слове	3	8
35	точки зрения	5	8
36	с другой	2	7
37	язык как	2	7
38	в ней	4	7
39	это не	3	7
40	в этих	2	7
41	не менее	3	6
42	по мере	2	6
43	тем не	3	6
44	и как	3	6
45	еще не	4	6
46	что на	4	6
47	как бы	6	6
48	все же	4	6
49	то же	8	6
50	при этом	19	6
51	зависит от	2	5
52	то в	4	5
53	в его	6	5
54	в первом	4	5
55	другой стороны	2	5
56	а в	13	5
57	и для	2	5
58	во втором	6	5
59	не имеет	2	5
60	друг друга	2	5
61	и его	10	5
62	в таком	2	5
63	между тем	3	5
64	никогда не	4	4
65	однако в	3	4
66	тем самым	5	4
67	прежде всего	4	4
68	в свою	2	4
69	свою очередь	2	4
70	же время	4	4
71	для него	4	4
72	к тому	6	4
73	не по	4	4
74	не было	3	4
75	и притом	2	4
76	быть не	3	4
77	и даже	2	4
78	тому как	3	4
79	из этих	4	4
80	в то	4	4
81	что мы	2	4
82	столь же	5	3
83	а его	2	3
84	оно не	2	3
85	и от	2	3
86	не могло	2	3
87	в жизни	3	3
88	как она	2	3
89	когда в	3	3
90	в этой	6	3
91	в своем	3	3
92	она не	2	3
93	только на	2	3
94	в своей	5	3
95	для того	3	3
96	и тем	4	3
97	в мире	4	3
98	связи с	2	3
99	в самом	6	3
100	столько же	2	3
101	но при	3	3
102	не мог	6	3
103	с ним	2	3
104	в глазах	3	3
105	и то	3	3
106	сказать что	2	3
107	во всяком	2	3
108	хотя и	4	3
109	он не	3	3
110	подобно тому	3	3
111	в сознании	4	3
112	могло бы	3	3
113	и все	3	3
114	она может	2	3
115	и с	3	3
116	но как	3	3
117	слова в	4	2
118	не существует	3	2
119	что одно	2	2
120	одного из	6	2
121	ключ к	2	2
122	сознания в	2	2
123	на то	2	2
124	о его	2	2
125	как мы	2	2
126	же в	2	2
127	жизни и	6	2
128	уже не	8	2
129	у нас	3	2
130	если не	2	2
131	не будет	2	2
132	все что	2	2
133	для них	2	2
134	того чтобы	4	2
135	в сущности	2	2
136	имеет место	4	2
137	и о	3	2
138	никак не	2	2
139	лица и	2	2
140	с ее	2	2
141	в целом	3	2
142	заключает в	2	2
143	только что	2	2
144	не могла	2	2
145	и только	2	2
146	тогда как	10	2
147	времени и	9	2
148	и того	2	2
149	тем же	2	2
150	или в	6	2
151	хотя бы	2	2
152	к ним	2	2
153	с языком	2	2
154	в начале	3	2
155	как будто	3	2
156	о том	4	2
157	дело в	2	2
158	так сказать	2	2
159	стало быть	3	2
160	мы можем	2	2
