N	3gram	Medvedev_F_2	Problema
1	и т д	5	13
2	в том что	2	9
3	в связи с	10	7
4	и в этом	5	6
5	сами по себе	2	6
6	во всяком случае	5	6
7	сам по себе	3	6
8	с другой стороны	3	5
9	не может быть	10	5
10	даже и не	2	4
11	в то же	5	4
12	как раз и	3	4
13	в том смысле	3	3
14	того или иного	4	3
15	в конце концов	2	3
16	может быть и	3	3
17	по себе а	2	3
18	том смысле что	2	3
19	в этом понятии	2	2
20	она ни была	3	2
21	ни о каком	3	2
22	ни в чем	2	2
23	на первый план	2	2
24	с точки зрения	7	2
25	в отличие от	2	2
26	как мы видели	4	2
27	бы она ни	3	2
28	мы говорим о	2	2
29	на самом деле	3	2
30	но и в	3	2
