N	2gram	Tiupa_Anal_2	UchenyiS
1	и в	16	14
2	а не	10	10
3	не только	16	10
4	и не	12	8
5	прежде всего	3	8
6	то что	7	7
7	в этом	18	7
8	не может	4	7
9	может быть	6	6
10	эстетического объекта	3	6
11	все это	4	5
12	то же	4	5
13	но и	12	4
14	в этой	9	4
15	конечном счете	2	4
16	в их	3	4
17	с другой	6	4
18	в конечном	3	4
19	но в	6	3
20	как и	14	3
21	и то	3	3
22	не следует	2	3
23	в своей	2	3
24	в частности	16	3
25	же время	2	3
26	другой стороны	2	3
27	для него	4	3
28	в то	2	3
29	было бы	3	3
30	и т.д	3	3
31	не о	2	3
32	или точнее	2	3
33	тех или	2	2
34	том что	12	2
35	но не	4	2
36	в том	12	2
37	по существу	2	2
38	художественного произведения	2	2
39	не есть	2	2
40	крайней мере	3	2
41	не в	4	2
42	и для	2	2
43	должна была	2	2
44	этом смысле	2	2
45	не столько	3	2
46	о чем	2	2
47	если бы	3	2
48	не случайно	8	2
49	только в	4	2
50	тем что	3	2
51	при таком	2	2
52	могут быть	10	2
53	в себе	7	2
54	как раз	4	2
55	в конце	4	2
56	что все	2	2
57	этом отношении	3	2
58	в самом	6	2
59	в сторону	5	2
60	или иных	2	2
61	по себе	2	2
62	превращается в	2	2
63	сводится к	3	2
64	ничего не	9	2
65	для всех	2	2
66	а как	2	2
67	по крайней	3	2
68	что она	2	2
69	и является	4	2
70	что и	3	2
71	в его	2	2
72	между тем	2	2
73	таким образом	2	2
74	же не	2	2
75	это было	2	2
