N	2gram	Losev_Prob_5	Sotsiolo
1	в том	12	5
2	в этом	17	5
3	не в	7	3
4	для нас	10	3
5	и только	2	3
6	в его	12	3
7	и в	30	3
8	не только	18	3
9	по отношению	2	2
10	еще не	3	2
11	было бы	4	2
12	как будто	3	2
13	только в	9	2
14	в конце	8	2
15	по существу	2	2
16	таким образом	13	2
17	том что	17	2
18	далеко не	4	2
19	то же	2	2
20	отношению к	2	2
21	то что	18	2
22	может быть	7	2
23	в результате	7	2
24	в частности	4	2
25	и что	6	2
26	но и	13	2
27	в смысле	4	2
28	как бы	6	2
29	конце концов	6	2
30	что в	5	2
