N	3gram	Bakhtin_Pr_3	FransuaR
1	мы уже говорили	2	11
2	как мы уже	3	6
3	то же время	5	5
4	о том что	2	5
5	в то же	5	5
6	в средние века	10	4
7	в большинстве случаев	4	4
8	все то что	2	4
9	есть здесь и	2	4
10	сих пор еще	2	3
11	в большей или	2	3
12	большей или меньшей	3	3
13	до сих пор	5	3
14	в последующие эпохи	2	2
15	нужно сказать что	2	2
16	или меньшей степени	2	2
17	а также и	3	2
18	мы уже отмечали	2	2
19	жизни и смерти	2	2
20	с точки зрения	2	2
21	и прежде всего	5	2
22	то есть в	2	2
23	в том что	3	2
24	почти во всех	2	2
