N	2gram	Voloshinov_2	Problema
1	и не	19	28
2	то есть	2	27
3	не только	13	24
4	только в	8	23
5	в виде	2	22
6	вовсе не	11	21
7	в том	7	20
8	и в	19	20
9	ни в	6	17
10	все эти	3	16
11	смысле слова	5	15
12	то что	4	15
13	у нас	3	14
14	было бы	4	14
15	той или	4	14
16	но и	10	14
17	точки зрения	17	14
18	перед нами	3	13
19	или иной	5	13
20	не в	10	13
21	даже и	2	13
22	в нашем	2	12
23	не есть	3	12
24	в себе	4	12
25	том что	10	12
26	прежде всего	7	11
27	по себе	3	11
28	с точки	13	11
29	отнюдь не	8	10
30	в качестве	3	10
31	не является	8	10
32	так и	10	10
33	и его	16	10
34	может быть	28	9
35	и даже	2	9
36	в этом	15	9
37	если бы	11	8
38	что он	4	8
39	таким образом	14	8
40	в той	5	8
41	во всяком	3	8
42	и все	6	8
43	но в	7	8
44	с другой	3	7
45	это не	4	7
46	еще не	3	7
47	мы не	2	7
48	и потому	2	7
49	и тем	4	7
50	то же	16	7
51	именно в	2	7
52	а не	9	7
53	сказать что	4	7
54	и с	2	7
55	в ней	3	7
56	хотя бы	6	7
57	и от	3	6
58	по крайней	2	6
59	как и	9	6
60	при этом	9	6
61	крайней мере	2	6
62	в таком	7	6
63	в данном	5	6
64	в каком	3	6
65	же самое	6	6
66	не существует	3	5
67	но не	2	5
68	на самом	7	5
69	каждый раз	3	5
70	в нем	11	5
71	здесь в	2	5
72	в смысле	6	5
73	в ее	3	5
74	да и	3	5
75	и о	2	5
76	жизни и	2	5
77	вместе с	2	5
78	так же	5	5
79	не может	18	5
80	так как	3	5
81	если мы	6	5
82	или в	2	5
83	в этих	3	5
84	о том	3	5
85	уже в	2	4
86	в отношении	4	4
87	в какой	3	4
88	и для	7	4
89	и ее	4	4
90	в этой	3	4
91	одной из	3	4
92	в своей	3	4
93	как бы	19	4
94	всяком случае	2	4
95	тем более	5	4
96	не имеет	3	4
97	во всех	6	4
98	с этим	3	4
99	а в	3	4
100	что не	2	4
101	как раз	4	4
102	в то	8	4
103	здесь как	2	4
104	в связи	7	3
105	к тому	6	3
106	и более	7	3
107	независимо от	2	3
108	в жизни	2	3
109	или иного	2	3
110	является для	2	3
111	как мы	15	3
112	он был	2	3
113	для него	9	3
114	здесь мы	3	3
115	и как	6	3
116	в начале	2	3
117	связи с	13	3
118	в истории	3	3
119	учение о	3	3
120	сознания и	3	3
121	совершенно не	5	3
122	конечно не	4	3
123	в коем	2	3
124	и является	2	3
125	в его	5	3
126	не так	2	3
127	что и	3	3
128	в зависимости	2	3
129	что в	2	3
130	другими словами	2	3
131	в своем	2	3
132	не было	3	3
133	самом деле	9	3
134	для того	6	3
135	к нему	5	3
136	коем случае	2	3
137	с другими	3	3
138	и на	5	3
139	тем что	2	3
140	чем же	3	3
141	к его	2	3
142	но как	2	3
143	в другом	3	3
144	зависимости от	2	3
145	того или	2	3
146	как о	2	3
147	мы можем	6	3
148	но они	2	2
149	все время	2	2
150	для его	3	2
151	и непосредственно	2	2
152	мы ни	5	2
153	в корне	3	2
154	столь же	3	2
155	она является	3	2
156	эти категории	2	2
157	на все	2	2
158	для себя	4	2
159	стороны и	2	2
160	с его	8	2
161	тому же	2	2
162	находятся в	2	2
163	является не	5	2
164	что они	2	2
165	или вернее	2	2
166	в пределах	10	2
167	же деле	3	2
168	что это	2	2
169	в самом	6	2
170	за пределы	3	2
171	свидетельствует о	2	2
172	является только	2	2
173	они могут	2	2
174	он не	3	2
175	относится к	3	2
176	в котором	3	2
177	все же	5	2
178	на этой	5	2
179	себя в	2	2
180	не будет	3	2
181	не к	3	2
182	или менее	2	2
183	мы только	3	2
184	только на	4	2
185	и тогда	2	2
186	и прежде	2	2
187	мы здесь	2	2
188	того чтобы	6	2
189	ни было	6	2
190	и он	2	2
191	только что	3	2
192	друг друга	2	2
193	с ними	4	2
194	то мы	2	2
195	в значительной	2	2
196	xix века	2	2
197	и то	3	2
198	ни взяли	3	2
199	далеко не	2	2
200	его в	7	2
201	и это	3	2
202	того же	5	2
203	более или	2	2
204	иное как	2	2
205	это будет	2	2
206	самом же	3	2
207	но по	2	2
208	еще более	2	2
209	и являются	2	2
210	это было	2	2
