N	3gram	Vygotskiy__1	Vvedenie
1	для того чтобы	15	20
2	о том что	6	12
3	в том что	15	12
4	не может быть	5	8
5	то же время	2	6
6	в самом деле	2	6
7	в то же	2	6
8	к выводу что	4	6
9	до сих пор	4	6
10	с другой стороны	9	5
11	в том чтобы	3	5
12	в данном случае	2	4
13	на этот вопрос	2	4
14	с одной стороны	8	4
15	можно было бы	3	4
16	по сравнению с	5	4
17	в этом отношении	4	4
18	во всяком случае	3	4
19	по отношению к	7	4
20	именно в этом	2	3
21	можно сказать что	4	3
22	в собственном смысле	5	3
23	что может быть	2	3
24	вместе с тем	5	3
25	в известном смысле	2	3
26	заключается в том	6	3
27	смысле этого слова	3	2
28	и той же	2	2
29	влечет за собой	2	2
30	в другом месте	6	2
31	ответ на этот	2	2
32	с точки зрения	18	2
33	но вместе с	4	2
34	то же самое	3	2
35	на вопрос о	2	2
36	одной и той	2	2
