N	2gram	Bakhtin_sl_2	Vladivir
1	и в	39	31
2	не только	24	24
3	но и	21	19
4	то что	2	18
5	и не	22	17
6	у него	3	15
7	и даже	7	15
8	том что	5	14
9	что в	3	14
10	в этом	16	14
11	и с	9	14
12	что он	2	12
13	в его	7	12
14	но в	6	12
15	с его	7	11
16	в том	5	11
17	о том	2	11
18	также и	2	10
19	он не	2	10
20	никогда не	7	9
21	как мы	7	9
22	а в	4	9
23	даже и	4	9
24	только в	5	9
25	в дальнейшем	2	8
26	в то	4	8
27	так как	4	8
28	уже в	2	7
29	для него	7	7
30	кроме того	2	7
31	о нем	2	7
32	и его	33	7
33	как это	3	7
34	сказать что	3	7
35	мы уже	2	7
36	и к	6	6
37	и потому	7	6
38	может быть	37	6
39	так и	15	6
40	не может	20	6
41	то же	4	6
42	не был	2	5
43	все это	16	5
44	вовсе не	10	5
45	не в	9	5
46	но как	2	5
47	со своим	9	5
48	и от	3	5
49	а также	3	5
50	что и	3	5
51	жизни и	6	5
52	не было	2	5
53	но он	2	5
54	с ним	7	5
55	же время	4	4
56	в своем	6	4
57	и все	5	4
58	в нем	19	4
59	для нас	5	4
60	к ней	2	4
61	в себе	2	4
62	как и	6	4
63	и как	3	4
64	хотя и	2	4
65	и особенно	2	4
66	один из	5	4
67	в нашем	2	4
68	себя в	8	4
69	в истории	11	4
70	в особенности	3	4
71	во всем	4	4
72	как он	2	4
73	дело в	2	4
74	к нему	3	4
75	мы увидим	2	3
76	в виде	2	3
77	с другой	5	3
78	как в	13	3
79	к своему	9	3
80	но не	6	3
81	но это	3	3
82	более или	2	3
83	за пределы	2	3
84	все же	6	3
85	на его	2	3
86	отношение к	4	3
87	вместе с	2	3
88	на него	2	3
89	или менее	2	3
90	в отношении	4	3
91	в связи	2	3
92	и речи	2	3
93	таким образом	8	3
94	все эти	6	3
95	уже не	5	3
96	и на	4	3
97	к его	2	3
98	и здесь	2	3
99	здесь не	4	3
100	то есть	26	3
101	но она	2	3
102	не менее	4	2
103	в них	6	2
104	хотя бы	3	2
105	и затем	2	2
106	не столько	3	2
107	быть также	2	2
108	ни в	4	2
109	это и	2	2
110	несколько слов	2	2
111	от него	5	2
112	на этом	3	2
113	все что	2	2
114	глубоко и	3	2
115	еще не	7	2
116	при этом	7	2
117	конечно не	5	2
118	одним из	2	2
119	просто не	2	2
120	всяком случае	2	2
121	с которым	2	2
122	даже в	2	2
123	которого он	2	2
124	и т	35	2
125	в свой	2	2
126	а именно	2	2
127	но мы	2	2
128	как к	3	2
129	т д	2	2
130	и для	5	2
131	чем не	2	2
132	и других	4	2
133	лишь в	3	2
134	того чтобы	2	2
135	для того	2	2
136	той же	3	2
137	с ними	5	2
138	в результате	2	2
139	во всяком	3	2
140	точки зрения	8	2
141	и ни	2	2
142	в чем	3	2
