N	2gram	Tiupa_Narr_1	Vladivir
1	и в	11	31
2	в году	2	30
3	не только	31	24
4	но и	27	19
5	то что	9	18
6	и не	23	17
7	у него	7	15
8	и даже	2	15
9	том что	7	14
10	что в	3	14
11	в этом	12	14
12	и с	3	14
13	что он	3	12
14	в его	6	12
15	но в	7	12
16	с его	4	11
17	в том	8	11
18	потому что	5	11
19	о том	4	11
20	и то	3	10
21	также и	3	10
22	он не	3	10
23	никогда не	4	9
24	как мы	2	9
25	а в	13	9
26	только в	12	9
27	в конце	2	9
28	в то	4	8
29	в москве	2	8
30	для него	4	7
31	об этом	6	7
32	о нем	3	7
33	как раз	6	7
34	и его	10	7
35	как это	3	7
36	сказать что	2	7
37	он и	2	6
38	можно сказать	5	6
39	у нас	3	6
40	в качестве	14	6
41	может быть	15	6
42	его жизни	3	6
43	так и	5	6
44	не может	8	6
45	то же	8	6
46	это было	2	6
47	на то	2	5
48	не в	6	5
49	но как	3	5
50	и от	2	5
51	а также	6	5
52	жизни и	6	5
53	не было	3	5
54	с ним	2	5
55	после смерти	2	4
56	же время	4	4
57	в своем	3	4
58	что у	4	4
59	и все	3	4
60	в нем	4	4
61	в себе	6	4
62	да и	2	4
63	как и	13	4
64	и как	3	4
65	в этой	6	4
66	такого рода	10	4
67	он уже	2	4
68	никак не	2	4
69	хотя и	4	4
70	еще в	3	4
71	один из	6	4
72	в нашем	3	4
73	себя в	2	4
74	в своей	5	4
75	в особенности	2	4
76	дело в	2	4
77	к нему	4	4
78	и через	2	3
79	к тому	6	3
80	отнюдь не	2	3
81	с другой	2	3
82	в жизни	3	3
83	как в	4	3
84	но не	4	3
85	это была	2	3
86	ему было	2	3
87	по своему	2	3
88	ничего не	2	3
89	все же	4	3
90	в целом	3	3
91	вместе с	2	3
92	по своим	2	3
93	только на	2	3
94	другой стороны	2	3
95	и стал	2	3
96	в связи	2	3
97	и вот	2	3
98	если не	2	3
99	не мог	6	3
100	уже не	8	3
101	и он	6	3
102	и притом	2	3
103	едва ли	3	3
104	и на	5	3
105	что касается	2	3
106	на себя	4	3
107	к его	2	3
108	в начале	3	3
109	здесь не	2	3
110	то есть	9	3
111	он сам	3	2
112	не менее	3	2
113	в частности	14	2
114	она была	2	2
115	хотя бы	2	2
116	о его	2	2
117	но зато	2	2
118	тем не	3	2
119	тому же	6	2
120	все что	2	2
121	еще не	4	2
122	при этом	19	2
123	того что	4	2
124	что на	4	2
125	в самом	6	2
126	ему в	2	2
127	и о	3	2
128	всяком случае	2	2
129	к жизни	2	2
130	в детстве	2	2
131	этом и	4	2
132	из них	4	2
133	не по	4	2
134	дело не	2	2
135	со стороны	8	2
136	только что	2	2
137	и для	2	2
138	начиная с	3	2
139	лишь в	3	2
140	тем самым	5	2
141	того чтобы	4	2
142	для того	3	2
143	что мы	2	2
144	времени в	2	2
145	с ними	2	2
146	а по	2	2
147	в результате	2	2
148	во всяком	2	2
149	точки зрения	5	2
150	к себе	4	2
151	из этих	4	2
152	и еще	2	2
153	один и	2	2
154	в чем	2	2
