N	2gram	Bakhtin_sl_1	Myshleni
1	в этом	12	25
2	потому что	2	21
3	таким образом	9	19
4	в том	3	18
5	не может	14	18
6	точки зрения	16	18
7	и в	41	16
8	того что	3	16
9	так как	3	16
10	не только	16	16
11	так же	2	15
12	том что	2	15
13	для того	2	14
14	в сущности	13	13
15	сказать что	2	13
16	между собой	2	13
17	в процессе	4	13
18	и не	16	12
19	отношение к	7	11
20	в его	13	11
21	но не	2	10
22	было бы	3	10
23	как мы	8	10
24	а не	15	10
25	только в	6	10
26	в отношении	6	9
27	может быть	14	9
28	с точки	8	9
29	точка зрения	8	8
30	должно быть	2	8
31	о том	3	8
32	в основе	5	8
33	в известном	2	8
34	как и	4	8
35	он не	3	8
36	то же	14	8
37	же как	2	7
38	известном смысле	2	7
39	друг с	2	7
40	в нем	30	7
41	но он	2	7
42	того же	6	7
43	так и	11	7
44	внутренней речи	3	7
45	если мы	2	7
46	с другом	2	7
47	что все	2	6
48	не в	7	6
49	и следовательно	7	6
50	но и	16	6
51	и на	14	6
52	речи в	4	6
53	но в	8	6
54	у него	3	6
55	связанные с	3	6
56	языка и	12	6
57	к тому	3	6
58	в той	10	6
59	в другом	2	6
60	никогда не	3	5
61	тому что	2	5
62	в своем	3	5
63	на все	2	5
64	мы и	2	5
65	что они	2	5
66	для него	3	5
67	как бы	12	5
68	не является	2	5
69	хотя бы	3	5
70	еще более	5	5
71	в то	14	5
72	с ним	7	5
73	можно сказать	2	5
74	как в	8	5
75	можно было	2	5
76	в которой	4	5
77	ничего не	4	5
78	в самых	2	4
79	не могут	3	4
80	все эти	9	4
81	с другой	5	4
82	это не	6	4
83	с этой	3	4
84	то время	2	4
85	так что	2	4
86	в свою	3	4
87	в пределах	14	4
88	при этом	6	4
89	в самом	5	4
90	в целом	2	4
91	именно в	3	4
92	речь и	3	4
93	и по	2	4
94	время как	2	4
95	в результате	3	4
96	точек зрения	5	4
97	мы видим	2	4
98	вообще не	3	4
99	в качестве	3	4
100	лучшем случае	2	4
101	еще не	4	4
102	за пределы	4	4
103	не есть	2	4
104	той же	2	4
105	и то	2	4
106	могут быть	19	4
107	в частности	2	3
108	прежде всего	8	3
109	в смысле	4	3
110	в известной	2	3
111	на которые	2	3
112	свою очередь	2	3
113	одной стороны	4	3
114	до конца	12	3
115	к нему	5	3
116	и тем	2	3
117	его и	3	3
118	в их	4	3
119	с одной	4	3
120	а в	6	3
121	и с	4	3
122	в первом	3	3
123	в этих	2	3
124	между тем	2	3
125	мы не	2	3
126	и чужого	2	3
127	с этим	3	3
128	в одном	2	3
129	к этому	2	3
130	он может	2	3
131	этом случае	2	3
132	все же	7	3
133	по существу	3	3
134	то в	2	3
135	по своему	2	3
136	и может	3	3
137	одной из	3	3
138	сих пор	2	3
139	не на	5	3
140	на этом	2	3
141	речь в	2	3
142	и его	14	3
143	в лучшем	2	3
144	он в	5	3
145	связи с	2	3
146	до сих	2	3
147	друг другу	2	2
148	столь же	2	2
149	и от	4	2
150	на всю	3	2
151	на его	8	2
152	одним из	4	2
153	в ней	4	2
154	совершенно не	2	2
155	в котором	2	2
156	в своей	7	2
157	из них	3	2
158	все это	5	2
159	другой стороны	4	2
160	язык и	10	2
161	форм и	3	2
162	те же	2	2
163	образом в	3	2
164	и даже	6	2
165	которые являются	2	2
166	и здесь	3	2
167	в истории	3	2
168	с которыми	2	2
169	речи но	2	2
170	в зависимости	3	2
171	точками зрения	3	2
172	в них	6	2
173	лежит в	4	2
174	вовсе не	7	2
175	его в	3	2
176	не с	2	2
177	и к	5	2
178	и эти	2	2
179	у нас	2	2
180	зависимости от	3	2
181	без всяких	2	2
182	чем он	2	2
183	слов и	2	2
184	предмета и	2	2
185	в свое	3	2
186	и потому	4	2
187	к предмету	4	2
188	не требует	3	2
189	и другим	2	2
190	во всех	17	2
191	только на	2	2
192	одному и	2	2
193	нами в	2	2
194	а с	2	2
195	и единство	2	2
196	от всякого	2	2
197	не должны	2	2
198	во всяком	7	2
199	его язык	3	2
200	на протяжении	2	2
201	ту же	4	2
202	из этого	3	2
