N	2gram	Savitsky_P_1	Istorich
1	и в	14	24
2	не только	17	21
3	и т	3	17
4	т е	3	16
5	может быть	5	14
6	не может	4	14
7	что в	4	13
8	в этом	10	12
9	но и	6	11
10	это не	3	10
11	том что	4	10
12	а в	4	10
13	с другой	5	9
14	не в	5	9
15	потому что	3	9
16	все это	2	8
17	то же	9	8
18	а не	2	8
19	в том	9	7
20	одна из	2	7
21	во всех	2	7
22	то что	4	7
23	для нас	2	6
24	но не	3	6
25	в нем	3	6
26	того что	2	6
27	только в	7	6
28	не менее	2	5
29	одной стороны	3	5
30	с одной	3	5
31	в русской	4	5
32	но в	9	5
33	как бы	4	4
34	и не	12	4
35	мы не	3	4
36	точки зрения	3	4
37	мы должны	4	4
38	не столько	2	3
39	в качестве	9	3
40	в них	2	3
41	и если	4	3
42	например в	2	3
43	между прочим	2	3
44	хотя и	3	3
45	что мы	3	3
46	думать что	2	2
47	прежде всего	3	2
48	стороны и	2	2
49	в то	7	2
50	в ее	2	2
51	в силу	2	2
52	тот же	3	2
53	было бы	6	2
54	и о	5	2
55	что из	2	2
56	в котором	4	2
57	если в	2	2
58	тем более	2	2
59	и тем	2	2
60	со стороны	2	2
61	из них	2	2
62	с этим	2	2
63	и это	2	2
