N	2gram	Tiupa_Teor_1	NovoeSre
1	а не	9	17
2	не может	4	16
3	и в	18	16
4	нового времени	3	12
5	и не	13	11
6	что в	9	9
7	он не	3	8
8	в том	16	8
9	не будет	2	7
10	как и	4	7
11	в этом	8	7
12	может быть	17	7
13	с его	5	6
14	никогда не	4	6
15	не знает	3	6
16	не в	7	6
17	лишь в	6	6
18	ни в	2	6
19	в нем	4	5
20	все это	2	5
21	в жизни	2	5
22	с ее	3	5
23	и к	3	5
24	не только	16	5
25	не менее	4	4
26	то что	3	4
27	в них	2	4
28	это не	2	4
29	и для	2	4
30	потому что	3	4
31	по своему	2	4
32	прежде всего	2	4
33	и потому	2	4
34	к жизни	2	3
35	но и	9	3
36	в своей	6	3
37	жизни в	2	3
38	с другой	7	3
39	к тому	2	3
40	в мире	19	3
41	в ее	5	3
42	в основе	3	3
43	как в	5	3
44	еще не	4	3
45	за пределы	2	3
46	сказать что	3	3
47	это было	2	3
48	времени в	2	2
49	жизни как	4	2
50	времени и	2	2
51	я не	2	2
52	себя в	6	2
53	место в	5	2
54	на уровне	2	2
55	вместе с	2	2
56	но она	2	2
57	так и	10	2
58	что она	2	2
59	и т.п	4	2
60	который в	2	2
61	другой стороны	5	2
62	а в	13	2
63	с одной	2	2
64	этом смысле	2	2
65	все эти	2	2
66	уже не	4	2
67	роль в	2	2
68	одной стороны	2	2
69	и даже	2	2
70	но не	9	2
71	ни к	3	2
72	так же	2	2
73	том что	9	2
74	есть в	2	2
75	и что	3	2
76	могут быть	4	2
77	в себе	9	2
78	с их	2	2
79	в то	6	2
80	как будто	2	2
81	и это	2	2
82	такого рода	8	2
83	как это	8	2
84	хотя и	3	2
85	но в	9	2
