N	3gram	Losev_Vlad_3	KulturaY
1	в том что	10	10
2	с точки зрения	6	8
3	с другой стороны	2	7
4	во всяком случае	3	5
5	само по себе	3	5
6	в этом смысле	3	5
7	тем не менее	9	5
8	не может быть	6	4
9	в этом отношении	2	3
10	в связи с	2	3
11	в то же	3	3
12	то же время	2	3
13	точно так же	4	3
14	в конце концов	5	3
15	на то что	2	2
16	в отличие от	3	2
17	так же как	2	2
18	хотя бы и	3	2
19	и в том	2	2
20	вместе с тем	6	2
21	но даже и	2	2
22	в том случае	3	2
23	и потому что	2	2
24	том случае если	2	2
25	только в том	3	2
26	так или иначе	2	2
