N	2gram	Bakhtin_sl_1	EvropaiC
1	таким образом	9	32
2	в том	3	31
3	и в	41	24
4	том что	2	20
5	все эти	9	19
6	не может	14	18
7	может быть	14	15
8	все же	7	15
9	точки зрения	16	13
10	в своем	3	12
11	до сих	2	12
12	сих пор	2	12
13	в этом	12	12
14	все это	5	11
15	между тем	2	11
16	с этим	3	11
17	как бы	12	10
18	во всех	17	10
19	так и	11	10
20	при этом	6	9
21	друг с	2	9
22	в результате	3	9
23	как и	4	9
24	того же	6	9
25	с другом	2	9
26	не в	7	8
27	в самом	5	8
28	так же	2	8
29	и все	4	8
30	с точки	8	8
31	к тому	3	7
32	но и	16	7
33	и не	16	7
34	из этих	3	7
35	о том	3	7
36	по существу	3	7
37	или менее	3	7
38	на самом	2	7
39	для того	2	7
40	из этого	3	7
41	более или	3	7
42	а между	2	7
43	в каждый	5	6
44	все они	7	6
45	с другой	5	6
46	так что	2	6
47	того что	3	6
48	и на	14	6
49	так как	3	6
50	с ним	7	6
51	в сознании	2	6
52	еще не	4	6
53	у них	2	6
54	только в	6	6
55	именно в	3	5
56	столь же	2	5
57	и от	4	5
58	на все	2	5
59	что все	2	5
60	у него	3	5
61	в целом	2	5
62	другой стороны	4	5
63	как к	2	5
64	и с	4	5
65	потому что	2	5
66	его в	3	5
67	но в	8	5
68	к этому	2	5
69	и к	5	5
70	в то	14	5
71	по своему	2	5
72	в его	13	5
73	не только	16	5
74	быть и	4	5
75	и для	4	5
76	лишь в	4	5
77	в себе	3	5
78	далеко не	5	5
79	в которой	4	5
80	не могут	3	4
81	каждый данный	5	4
82	никогда не	3	4
83	этом случае	2	4
84	и проч	2	4
85	одним из	4	4
86	хотя и	2	4
87	отношение к	7	4
88	из них	3	4
89	как сказано	3	4
90	в их	4	4
91	должно быть	2	4
92	и то	2	4
93	всех этих	4	4
94	между собой	2	4
95	данный момент	4	4
96	связи с	2	4
97	мы уже	2	4
98	том же	4	4
99	он не	3	4
100	не есть	2	4
101	совершенно не	2	4
102	то же	14	4
103	а с	2	4
104	если мы	2	4
105	и у	2	4
106	хотя бы	3	4
107	в виде	2	4
108	может не	8	3
109	же как	2	3
110	с одной	4	3
111	в этих	2	3
112	для нас	2	3
113	различия между	2	3
114	в нем	30	3
115	данном случае	3	3
116	в разных	3	3
117	и других	3	3
118	образом в	3	3
119	и наконец	4	3
120	и по	2	3
121	а в	6	3
122	это не	6	3
123	в истории	3	3
124	и потому	4	3
125	но по	2	3
126	прежде всего	8	3
127	у нас	2	3
128	мы сказали	4	3
129	и может	3	3
130	конечно не	3	3
131	на почве	4	3
132	даже в	2	3
133	в данном	3	3
134	и вообще	2	3
135	свою очередь	2	2
136	в частности	2	2
137	тому что	2	2
138	точку зрения	3	2
139	с этой	3	2
140	исторического развития	2	2
141	как мы	8	2
142	для него	3	2
143	мы и	2	2
144	что они	2	2
145	на этом	2	2
146	же время	12	2
147	в свою	3	2
148	одной стороны	4	2
149	и сам	3	2
150	к нему	5	2
151	они могут	7	2
152	в ней	4	2
153	всяком случае	5	2
154	в котором	2	2
155	с ее	4	2
156	на том	2	2
157	те же	2	2
158	ни было	2	2
159	между этими	2	2
160	и те	2	2
161	с ними	3	2
162	широком смысле	2	2
163	не было	3	2
164	также и	3	2
165	во всяком	7	2
166	то есть	26	2
167	том и	2	2
168	в основе	5	2
169	и там	3	2
170	в них	6	2
171	вовсе не	7	2
172	то в	2	2
173	одна из	2	2
174	но не	2	2
175	она не	3	2
176	было бы	3	2
177	в сущности	13	2
178	в процессе	4	2
179	из одного	2	2
180	между ними	2	2
181	или вовсе	2	2
182	мы все	2	2
183	и ее	3	2
184	в другом	2	2
185	ту же	4	2
186	в эту	2	2
187	все его	4	2
188	из него	2	2
