N	2gram	Kanaev_Sov_1	Vladivir
1	и в	7	40
2	и не	6	25
3	не только	4	25
4	у него	2	24
5	в том	4	18
6	что в	2	17
7	в этом	7	16
8	в его	2	14
9	не может	17	14
10	точки зрения	12	13
11	в виде	2	13
12	в конце	3	12
13	таким образом	11	11
14	прежде всего	5	10
15	тем не	2	10
16	и потому	3	10
17	не менее	2	9
18	что это	2	9
19	уже не	2	9
20	что же	5	9
21	в себе	3	9
22	в этой	3	8
23	может быть	12	8
24	и что	2	8
25	как мы	2	8
26	а не	3	8
27	что все	2	7
28	а в	4	7
29	так как	4	7
30	вместе с	4	7
31	как и	6	7
32	и даже	2	6
33	№ с	2	6
34	с точки	5	6
35	для нас	3	5
36	все эти	5	5
37	отнюдь не	3	5
38	в одном	3	5
39	у нас	3	5
40	ничего не	6	5
41	вопрос о	4	4
42	в дальнейшем	4	4
43	такой же	2	4
44	такого рода	2	4
45	в самом	2	4
46	в результате	6	4
47	мы должны	4	4
48	и все	3	4
49	еще не	3	4
50	было бы	3	4
51	то же	3	4
52	если мы	4	4
53	все же	3	4
54	но в	3	4
55	по мнению	2	4
56	уже в	3	3
57	то ни	2	3
58	это не	4	3
59	из этих	2	3
60	мы знаем	2	3
61	но все	2	3
62	при этом	3	3
63	как бы	4	3
64	всяком случае	2	3
65	в настоящее	2	3
66	в нем	3	3
67	мы видели	4	3
68	отличается от	3	3
69	с одной	2	3
70	настоящее время	2	3
71	же самое	2	3
72	в отличие	2	3
73	не в	3	3
74	в таком	2	3
75	во всяком	2	3
76	отличие от	2	3
77	не могут	2	2
78	в нашем	2	2
79	же это	4	2
80	не можем	7	2
81	и наконец	5	2
82	в целом	4	2
83	что она	3	2
84	то и	2	2
85	и по	2	2
86	знаем что	2	2
87	с этим	2	2
88	но мы	3	2
89	и к	3	2
90	из них	4	2
91	совершенно не	2	2
92	быть и	2	2
93	роль в	2	2
94	мы не	9	2
95	в которой	2	2
96	о значении	2	2
