N	2gram	Voloshinov_1	UchenyiS
1	и в	38	14
2	а не	6	10
3	не только	27	10
4	и не	14	8
5	прежде всего	21	8
6	то что	8	7
7	в этом	10	7
8	не может	12	7
9	может быть	13	6
10	хотя бы	18	5
11	художественного творчества	5	5
12	все это	4	5
13	то же	14	5
14	но и	13	4
15	в этой	6	4
16	конечно не	3	4
17	что такое	4	4
18	но в	5	3
19	как и	10	3
20	и то	3	3
21	все же	7	3
22	в своей	2	3
23	в частности	3	3
24	очевидно что	2	3
25	же время	7	3
26	для него	3	3
27	это не	3	3
28	вряд ли	3	3
29	в то	9	3
30	было бы	7	3
31	и т.д	21	3
32	в области	5	3
33	у нас	4	3
34	смысле этого	2	2
35	тех или	4	2
36	том что	3	2
37	но не	2	2
38	в том	2	2
39	мы не	9	2
40	с его	7	2
41	не в	6	2
42	и для	3	2
43	но это	2	2
44	бы и	2	2
45	должна была	2	2
46	если бы	4	2
47	только в	6	2
48	и с	5	2
49	но даже	2	2
50	тем что	2	2
51	сих пор	2	2
52	его и	3	2
53	даже и	2	2
54	что он	2	2
55	вопроса о	4	2
56	в себе	9	2
57	что мы	11	2
58	же самое	5	2
59	в конце	6	2
60	если не	3	2
61	этом отношении	2	2
62	в самом	4	2
63	или иных	3	2
64	ничего не	8	2
65	самом деле	4	2
66	для всех	2	2
67	и является	5	2
68	что и	3	2
69	в его	6	2
70	между тем	3	2
71	конце концов	3	2
72	таким образом	7	2
73	как таковой	3	2
