N	2gram	Tiupa_Vved_1	KulturaY
1	и в	13	23
2	в том	10	22
3	не только	20	17
4	было бы	4	16
5	в этом	21	16
6	в области	3	14
7	может быть	18	14
8	самом деле	3	14
9	что в	3	13
10	в самом	2	13
11	не менее	4	12
12	потому что	5	12
13	том что	7	11
14	а не	15	11
15	того что	6	11
16	в его	4	11
17	можно было	2	11
18	и не	12	10
19	прежде всего	7	9
20	тем не	3	9
21	еще не	7	9
22	таким образом	4	9
23	если бы	7	8
24	лишь в	2	8
25	уже не	5	8
26	в нашем	6	7
27	с другой	5	7
28	или иной	3	7
29	на фоне	2	7
30	те же	2	7
31	в данном	13	7
32	по себе	2	6
33	что и	2	6
34	в силу	2	6
35	при этом	26	6
36	и тем	2	6
37	так и	8	6
38	не может	7	6
39	то же	5	6
40	могут быть	4	6
41	говорить о	2	6
42	только в	6	6
43	о том	5	6
44	что же	3	5
45	в рамках	4	5
46	но также	2	5
47	как и	11	5
48	не в	6	5
49	хотя и	7	5
50	как бы	4	5
51	все же	6	5
52	как мы	3	5
53	а в	6	5
54	но это	3	5
55	также и	4	5
56	тем что	2	5
57	той или	3	5
58	из этих	3	5
59	далеко не	4	5
60	в первом	2	5
61	слова в	2	4
62	один из	3	4
63	а также	8	4
64	для нас	2	4
65	в целом	3	4
66	одной стороны	5	4
67	в своей	5	4
68	том чтобы	2	4
69	точка зрения	3	4
70	то что	6	4
71	данном случае	6	4
72	как в	4	4
73	целый ряд	2	4
74	как раз	2	4
75	в своем	5	4
76	не было	2	4
77	с одной	5	4
78	о них	3	4
79	в той	4	4
80	тем самым	5	4
81	что такое	18	4
82	в слове	3	4
83	не столько	4	4
84	а лишь	2	3
85	но на	2	3
86	и более	3	3
87	отнюдь не	7	3
88	как о	2	3
89	это не	6	3
90	на самом	4	3
91	должна быть	2	3
92	имеет смысл	2	3
93	к тому	6	3
94	и к	2	3
95	что на	2	3
96	мы видели	2	3
97	но не	5	3
98	по поводу	2	3
99	в данной	2	3
100	в какой	4	3
101	он не	3	3
102	отношение к	2	3
103	но и	19	3
104	на него	2	3
105	по отношению	7	3
106	другой стороны	2	3
107	тому же	4	3
108	а с	2	3
109	мы не	4	3
110	в ней	4	3
111	в ряду	2	3
112	не имеет	2	3
113	и с	2	3
114	бы и	4	3
115	могло бы	3	3
116	в результате	3	3
117	смысл который	2	3
118	то он	2	3
119	в то	4	3
120	бы не	2	3
121	так сказать	2	2
122	о чем	2	2
123	в частности	13	2
124	все они	2	2
125	не как	2	2
126	можно сказать	4	2
127	к его	3	2
128	точек зрения	2	2
129	состоит в	10	2
130	и того	2	2
131	более или	2	2
132	по своему	2	2
133	а то	2	2
134	когда в	2	2
135	в качестве	8	2
136	может служить	4	2
137	иначе говоря	6	2
138	никак не	2	2
139	не о	2	2
140	в котором	8	2
141	однако в	4	2
142	не все	2	2
143	не с	3	2
144	отношению к	7	2
145	в пределах	2	2
146	своего рода	10	2
147	подчеркнуть что	5	2
148	или менее	2	2
149	внимание на	3	2
150	так в	4	2
151	то и	2	2
152	в отличие	2	2
153	быть не	4	2
154	следует подчеркнуть	5	2
155	что мы	2	2
156	тому как	2	2
157	как он	2	2
158	для которого	3	2
159	в этих	3	2
160	здесь не	2	2
161	отличие от	2	2
162	мы имеем	5	2
163	но в	6	2
