N	2gram	Losev_Vesc_1	Problema
1	в его	2	43
2	и не	29	42
3	и в	21	38
4	не может	17	27
5	может быть	16	26
6	как бы	12	22
7	отнюдь не	5	19
8	и с	8	17
9	и его	2	16
10	в нем	2	15
11	в этом	4	15
12	и т	19	14
13	независимо от	5	13
14	прежде всего	9	13
15	только в	14	13
16	но не	5	12
17	во всех	2	11
18	и для	9	11
19	таким образом	8	10
20	но и	18	9
21	его в	2	9
22	не только	36	9
23	в том	8	8
24	и как	8	8
25	точки зрения	5	8
26	было бы	14	8
27	для нее	2	8
28	то что	27	8
29	слова в	2	7
30	что в	9	7
31	с другой	6	7
32	вообще не	2	7
33	не в	5	7
34	в самом	9	7
35	как и	8	7
36	еще не	8	7
37	совершенно не	5	7
38	в своей	5	7
39	как мы	4	7
40	можно только	4	6
41	а в	4	6
42	не есть	49	6
43	все же	4	6
44	самом деле	4	6
45	с точки	3	6
46	мы можем	4	6
47	ничего не	3	6
48	то же	6	5
49	в своем	6	5
50	это не	5	5
51	никогда не	2	5
52	все эти	3	5
53	должно быть	6	5
54	в основе	3	5
55	с ним	8	5
56	себя как	2	5
57	не нужно	2	5
58	и о	3	5
59	так и	3	5
60	а не	19	5
61	быть только	3	5
62	должна быть	4	4
63	не менее	3	4
64	должны быть	4	4
65	в ней	12	4
66	в виду	2	4
67	другой стороны	2	4
68	данном случае	2	4
69	себя самого	2	4
70	и только	3	4
71	от всех	4	4
72	с ними	3	4
73	сказать что	17	4
74	в то	3	4
75	о том	6	4
76	и потому	5	4
77	но в	5	4
78	вне себя	2	4
79	перестает быть	3	4
80	не с	7	4
81	в ее	7	4
82	как вещь	9	4
83	относится к	5	4
84	что не	5	4
85	между ними	3	4
86	хотя бы	6	4
87	можно было	2	4
88	в данном	5	4
89	в себе	14	4
90	как только	4	3
91	к действительности	2	3
92	себя и	4	3
93	то ни	4	3
94	и от	3	3
95	тем не	3	3
96	да и	3	3
97	основе своей	2	3
98	но это	10	3
99	имеем дело	3	3
100	кроме того	4	3
101	ли мы	2	3
102	одной стороны	3	3
103	хотя и	4	3
104	и тем	3	3
105	все это	5	3
106	с одной	3	3
107	применении к	2	3
108	есть лишь	2	3
109	и даже	6	3
110	также и	6	3
111	или как	2	3
112	ни было	4	3
113	если бы	5	3
114	и все	5	3
115	ясно что	8	3
116	она может	4	3
117	том что	8	3
118	говорить о	6	3
119	бы то	4	3
120	действительности и	5	3
121	как вещи	3	3
122	оно не	3	3
123	как нечто	2	3
124	но с	2	3
125	в слове	2	3
126	с другими	8	3
127	на ее	3	3
128	слова и	5	3
129	и это	14	3
130	на этом	2	2
131	я не	4	2
132	и есть	26	2
133	от ее	6	2
134	и внешнего	2	2
135	что все	2	2
136	была бы	2	2
137	на то	4	2
138	можно сказать	6	2
139	а только	3	2
140	что оно	8	2
141	с самим	4	2
142	в свою	4	2
143	и пр	6	2
144	в работах	2	2
145	что это	13	2
146	и у	3	2
147	а ее	2	2
148	той или	2	2
149	не вполне	2	2
150	но совершенно	2	2
151	в котором	3	2
152	другими словами	5	2
153	ни с	6	2
154	конечно можно	3	2
155	но она	3	2
156	отличается от	7	2
157	как к	4	2
158	чем не	2	2
159	в самой	2	2
160	и что	15	2
161	того что	8	2
162	действительности в	2	2
163	есть только	7	2
164	и здесь	4	2
165	самим собою	2	2
166	к себе	4	2
167	мы должны	2	2
168	в россии	2	2
169	как это	2	2
170	оно может	2	2
171	мы имеем	7	2
172	слово в	2	2
173	степени и	2	2
174	себе не	3	2
175	и во	3	2
176	вовсе не	10	2
177	есть не	14	2
178	языка как	2	2
179	у нас	7	2
180	по существу	2	2
181	последние годы	2	2
182	одна из	5	2
183	она не	4	2
184	должен быть	2	2
185	можно и	2	2
186	что и	3	2
187	себя в	10	2
188	я должен	4	2
189	в себя	13	2
190	можно говорить	2	2
191	того чтобы	3	2
192	для того	2	2
193	слово и	4	2
194	и эта	3	2
195	то или	2	2
196	или в	2	2
197	тем что	2	2
198	и ее	18	2
199	в другом	2	2
200	дело в	4	2
201	в чем	6	2
202	понятий и	2	2
